# BaBar
# mass [GeV] 	 cff 	 cWW
0.005	0.011507092609998822	7.237191872175721
0.05	0.011507638615180832	7.3282832857217155
0.07	0.011507431676664372	7.6610524856536255
0.075	0.011507431676664372	70
0.1	0.01150699685131842	79.82800079666522
0.2	0.01150438480351622	78.79703905703514
0.25	0.11466541437915836	72.60334017704182
0.3	0.12493502237379515	79.21680561650113
0.5	0.12121778350165961	76.71321204842222
1.0	0.10719339415654083	67.90688176699504
2.0	0.08907680148077708	56.471008144464975
3.0	0.04537450173478238	28.701344045208476

