# Belle II, 0.5/ab, with background
# mass [GeV] 	 cff 	 cWW
0.005	0.0034572601083840714	2.181296925585417
0.05	0.0034699100796086275	2.1924021062880854
0.07	0.003447642034550307	2.186573451086259
0.1	0.0034988285854109544	2.259774747775177
0.2	0.003353131625022854	2.910862958455417
0.25	0.01413457172757928	3.1549227023686917
0.3	0.013156467226743265	8.31845205029581
0.5	0.012880939375844678	8.142383348869151
1.0	0.014005663970028866	8.859777851159881
2.0	0.07745252642041371	49.08333432729834

