#  m  [GeV] ,  tau  [ps] ,  c ,  c_eff(theo) ,  c_eff(exp)^upper ,    c_eff(exp)^lower ,                c_eff(exp)^upper  converted ,    c_eff(exp)^lower  converted ,  allowed/excluded  (1/0)
0.45,0.006338770866005614,12.742749857031335,12.762243686813747,0.01,0.0067538,342.5,231.31765,1
0.45,0.0039038476578865944,16.237767391887218,16.262610286552142,0.01,0.0067538,342.5,231.31765,1
0.45,0.002404307936569064,20.6913808111479,20.72304063920285,0.01,0.0067538,342.5,231.31765,1
0.45,0.0014804030203380114,26.366508987303583,26.40683544803403,0.01,0.0067538,342.5,231.31765,1
0.45,0.0009117163836540941,33.59818286283781,33.64956652295021,0.01,0.0067538,342.5,231.31765,1
0.45,0.0005615022417853872,42.81332398719393,42.878797197513585,0.01,0.0067538,342.5,231.31765,1
0.45,0.0003458217034484449,54.5559478116852,54.63937408559105,0.01,0.0067538,342.5,231.31765,1
0.45,0.00021299036328391739,69.51927961775606,69.62558173810557,0.01,0.0067538,342.5,231.31765,1
0.45,0.00013118150580469749,88.58667904100822,88.72212979171533,0.01,0.0067538,342.5,231.31765,1
0.45,8.079572711274504e-05,112.88378916846884,113.05638179972904,0.01,0.0067538,342.5,231.31765,1
0.45,4.976290004483289e-05,143.8449888287663,144.0649091374195,0.01,0.0067538,342.5,231.31765,1
0.45,3.063147719799638e-05,183.29807108324357,183.57840899141263,0.01,0.0067538,342.5,231.31765,1
0.45,1.8864169264587583e-05,233.57214690901213,233.92938877991455,0.01,0.0067538,342.5,231.31765,0
0.45,1.1617475225908195e-05,297.63514416313194,298.0903860450195,0.01,0.0067538,342.5,231.31765,0
0.45,7.154209356685724e-06,379.26901907322497,379.84907507665787,0.01,0.0067538,342.5,231.31765,1
0.45,4.405849558771318e-06,483.2930238571752,484.03216858219577,0.01,0.0067538,342.5,231.31765,1
0.45,2.7133127225176647e-06,615.8482110660261,616.7900811894127,0.01,0.0067538,342.5,231.31765,1
0.45,1.670980073364313e-06,784.7599703514607,785.960169866267,0.01,0.0067538,342.5,231.31765,1
0.45,1.0290665239269143e-06,1000.0,1001.5293831880762,0.01,0.0067538,342.5,231.31765,1
0.46,0.0096460502362706,10.0,10.015459177513344,0.01,0.0057462,342.5,196.80734999999999,1
0.46,0.005940580605132344,12.742749857031335,12.76245087048676,0.01,0.0057462,342.5,196.80734999999999,1
0.46,0.003658615853270175,16.237767391887218,16.262874322954172,0.01,0.0057462,342.5,196.80734999999999,1
0.46,0.002253274831047532,20.6913808111479,20.723377131054605,0.01,0.0057462,342.5,196.80734999999999,1
0.46,0.0013874058747152314,26.366508987303583,26.407264034479827,0.01,0.0057462,342.5,196.80734999999999,1
0.46,0.0008544433454337793,33.59818286283781,33.650112624452824,0.01,0.0057462,342.5,196.80734999999999,1
0.46,0.0005262292401620314,42.81332398719393,42.87949304406842,0.01,0.0057462,342.5,196.80734999999999,1
0.46,0.0003240975209931775,54.5559478116852,54.64026074168845,0.01,0.0057462,342.5,196.80734999999999,1
0.46,0.00019961051167879528,69.51927961775606,69.62671152761979,0.01,0.0057462,342.5,196.80734999999999,1
0.46,0.00012294080787658566,88.58667904100822,88.72356938836482,0.01,0.0057462,342.5,196.80734999999999,1
0.46,7.572021679504012e-05,112.88378916846884,113.0582161650909,0.01,0.0057462,342.5,196.80734999999999,1
0.46,4.6636843429534966e-05,143.8449888287663,144.06724653907295,0.01,0.0057462,342.5,196.80734999999999,1
0.46,2.8707242477232352e-05,183.29807108324357,183.58138840363407,0.01,0.0057462,342.5,196.80734999999999,1
0.46,1.767914486442727e-05,233.57214690901213,233.93318552379864,0.01,0.0057462,342.5,196.80734999999999,0
0.46,1.0887680356354331e-05,297.63514416313194,298.0952243341705,0.01,0.0057462,342.5,196.80734999999999,0
0.46,6.704789436488495e-06,379.26901907322497,379.85523982260736,0.01,0.0057462,342.5,196.80734999999999,1
0.46,4.129078572388285e-06,483.2930238571752,484.0400240851433,0.01,0.0057462,342.5,196.80734999999999,1
0.46,2.5428651316859663e-06,615.8482110660261,616.8000912134435,0.01,0.0057462,342.5,196.80734999999999,1
0.46,1.566010760873183e-06,784.7599703514607,785.9729253606893,0.01,0.0057462,342.5,196.80734999999999,1
0.46,9.644215790043498e-07,1000.0,1001.5456371788166,0.01,0.0057462,342.5,196.80734999999999,1
0.47,0.009052473941848866,10.0,10.01560777198106,0.01,0.0044557,342.5,152.607725,1
0.47,0.005575024058705541,12.742749857031335,12.762640238652775,0.01,0.0044557,342.5,152.607725,1
0.47,0.0034334819611779154,16.237767391887218,16.263115655150635,0.01,0.0044557,342.5,152.607725,1
0.47,0.0021146195511457648,20.6913808111479,20.723684688348875,0.01,0.0044557,342.5,152.607725,1
0.47,0.001302030392123106,26.366508987303583,26.407655767185087,0.01,0.0044557,342.5,152.607725,1
0.47,0.0008018641786105136,33.59818286283781,33.6506117672079,0.01,0.0044557,342.5,152.607725,1
0.47,0.000493847077245465,42.81332398719393,42.88012905545291,0.01,0.0044557,342.5,152.607725,1
0.47,0.0003041537696107233,54.5559478116852,54.641071155111554,0.01,0.0044557,342.5,152.607725,1
0.47,0.00018732722201736051,69.51927961775606,69.6277441676979,0.01,0.0044557,342.5,152.607725,1
0.47,0.00011537548638822531,88.58667904100822,88.72488519563866,0.01,0.0044557,342.5,152.607725,1
0.47,7.106067604423263e-05,112.88378916846884,113.05989279541714,0.01,0.0044557,342.5,152.607725,1
