#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) ,  BR_Na62(K+->pi+  a) ,  Allowed/excluded  (1/0) 

0.01,0.0027911265657380715,695.192796177562,30.22289734761497,1.84e-10,0
0.01,0.00019403710817003257,2636.6508987303664,434.7412331891476,1.84e-10,0
0.01,1.3489319979055748e-05,10000.0,6253.53478336117,1.84e-10,0
0.02,6.709556636298876e+16,1e-07,1.1265606724990032e-18,4.04e-09,1
0.02,4664435439097878.0,3.792690190732254e-07,1.6205010735136708e-17,4.04e-09,1
0.02,324268191547186.8,1.438449888287663e-06,2.3310095883886755e-16,4.04e-09,1
0.02,22542891076899.062,5.455594781168514e-06,3.353040486526052e-15,4.04e-09,1
0.02,1567165545826.0952,2.06913808111479e-05,4.823180803964997e-14,4.04e-09,1
0.02,108948217693.54994,7.847599703514623e-05,6.937905566976247e-13,4.04e-09,1
0.02,7574000174.991862,0.00029763514416313193,9.979853267380197e-12,4.04e-09,1
0.02,526538531.43368644,0.0011288378916846883,1.435569170855324e-10,4.04e-09,1
0.02,36604517.44076378,0.004281332398719396,2.0650382094437064e-09,4.04e-09,1
0.02,2544716.886310365,0.01623776739188724,2.970494975414795e-08,4.04e-09,0
0.02,176906.81448310326,0.06158482110660267,4.2729294805520406e-07,4.04e-09,0
0.02,67095.27001484088,0.1,1.1266231749455684e-06,4.04e-09,0
0.02,32426.674977240855,0.14384498882876628,2.3311397761537927e-06,4.04e-09,0
0.02,15671.585479857418,0.20691380811147897,4.8234513335235545e-06,4.04e-09,0
0.02,12298.432890149796,0.23357214690901212,6.146403795615507e-06,4.04e-09,0
0.02,7573.967825848517,0.29763514416313175,9.980388645784594e-06,4.04e-09,0
0.02,3660.445776259783,0.42813323987193935,2.0650804824588268e-05,4.04e-09,0
0.02,1769.0678954431194,0.6158482110660264,4.272937043809302e-05,4.04e-09,0
0.02,854.9781684124787,0.8858667904100825,8.841297298924601e-05,4.04e-09,0
0.02,854.978168412477,0.8858667904100832,8.841297298953193e-05,4.04e-09,0
0.02,413.20498293593306,1.2742749857031335,0.0001829386571035464,4.04e-09,0
0.02,199.69908520243604,1.8329807108324356,0.00037852535319205373,4.04e-09,0
0.02,96.51317458979526,2.636650898730358,0.000783221239180624,1.6e-10,0
0.02,59.43746586727624,3.359818286283788,0.0012717764427500192,1.6e-10,0
0.02,46.64414393604277,3.79269019073225,0.0016205929152719235,1.6e-10,0
0.02,22.542789350093525,5.455594781168517,0.0033532305485580367,1.6e-10,0
0.02,10.894772825137949,7.847599703514611,0.006938297071119972,1.6e-10,0
0.02,5.265367700866848,11.288378916846883,0.01435629475743306,1.6e-10,0
0.02,4.132049800406811,12.742749857031322,0.018293867319890366,1.6e-10,0
0.02,2.544715477189337,16.23776739188721,0.02970515628646575,1.6e-10,0
0.02,1.2298432375976753,23.357214690901213,0.06146407022155201,1.6e-10,0
0.02,0.5943746570918329,33.59818286283781,0.12717764852267247,1.6e-10,0
0.02,0.2872571253040929,48.32930238571752,0.26314811592346216,1.6e-10,0
0.02,0.2872571253040929,48.32930238571752,0.26314811592346216,1.6e-10,0
0.02,0.1388293647040366,69.51927961775606,0.5444897880594674,1.6e-10,0
0.02,0.06709526346506178,100.0,1.1266245558628842,1.6e-10,0
0.02,0.01996990841318514,183.29807108324374,3.78525378670949,1.6e-10,0
0.02,0.0013882936468617994,695.192796177562,54.44897889407915,1.6e-10,0
0.02,9.651317422672342e-05,2636.6508987303664,783.2212761748949,1.6e-10,0
0.02,6.70952634584628e-06,10000.0,11266.245572563963,1.6e-10,0
0.03,4.4603679236823704e+16,1e-07,2.2846537606953343e-18,1.59e-08,1
0.03,3100815648843846.0,3.792690190732254e-07,3.286359946864833e-17,1.59e-08,1
0.03,215566470133496.88,1.438449888287663e-06,4.727264098892805e-16,1.59e-08,1
