#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  mu  mu) ,  Allowed/excluded  (1/0) 

0.3,111863.59770266336,0.00011253355826007646,5.518021627335525e-09,1.7449226624570496e-08,1
0.3,69752.59509570885,0.00014251026703029977,8.849397895893895e-09,1.1646909826114028e-08,1
0.3,43494.24024041136,0.00018047217668271703,1.4192083250085643e-08,7.86534760296839e-09,0
0.3,27120.814798692645,0.00022854638641349906,2.276054009932419e-08,5.57105932569416e-09,0
0.3,16911.144847201118,0.0002894266124716752,3.6502794048068524e-08,4.2629250699566736e-09,0
0.3,10544.891293457147,0.0003665241237079626,5.8543882216457814e-08,3.5594962987137056e-09,0
0.3,6575.206594595328,0.00046415888336127773,9.389772105889403e-08,3.5281841388256806e-09,0
0.3,4099.908840809575,0.0005878016072274912,1.506099643657633e-07,4.334502008158287e-09,0
0.3,2556.441646751447,0.0007443803013251688,2.4159261469160387e-07,6.332382365171274e-09,0
0.3,1594.0212615369428,0.0009426684551178855,3.8756837489255795e-07,1.059573422674527e-08,0
0.3,993.9143317676959,0.0011937766417144358,6.217946302264309e-07,3.8626378987721877e-08,0
0.3,619.7277445887902,0.0015117750706156615,9.976409184632484e-07,2.6932179759993373e-07,0
0.3,386.41230922657024,0.0019144819761699576,1.6007418714863605e-06,3.628556451212765e-06,1
0.3,240.93508907094676,0.0024244620170823282,2.5684874397192376e-06,6.61203682494814e-05,1
0.3,150.22744937977825,0.00307029062975785,4.121280130125867e-06,1000000.0,1
0.3,93.6697930116046,0.003888155180308085,6.6126639743095924e-06,1000000.0,1
0.3,58.40519822410939,0.0049238826317067365,1.0609719776352696e-05,1000000.0,1
0.3,36.4171126550474,0.006235507341273912,1.7022000681092055e-05,1000000.0,1
0.3,22.70710383961526,0.007896522868499725,2.7308314696113508e-05,1000000.0,1
0.3,14.158596300496722,0.01,4.380835390387764e-05,1000000.0,1
0.35384615384615387,1062861075.3648975,1e-06,4.3602758092195996e-13,1000000.0,1
0.35384615384615387,662747803.810716,1.2663801734674021e-06,6.992656044135174e-13,1000000.0,1
0.35384615384615387,413256879.59900874,1.6037187437513308e-06,1.1214253569059483e-12,1000000.0,1
0.35384615384615387,257686630.6487,2.030917620904735e-06,1.798450865222903e-12,1000000.0,1
0.35384615384615387,160680687.7073792,2.571913809059347e-06,2.884209363901633e-12,1000000.0,1
0.35384615384615387,100192560.77163006,3.257020655659783e-06,4.625460621963696e-12,1000000.0,1
0.35384615384615387,62475144.8148886,4.124626382901348e-06,7.417937908611345e-12,1000000.0,1
0.35384615384615387,38956422.40571417,5.223345074266844e-06,1.1896286091374114e-11,1000000.0,1
0.35384615384615387,24291305.781778075,6.6147406412301455e-06,1.9078297055748612e-11,1000000.0,1
0.35384615384615387,15146861.544900361,8.376776400682924e-06,3.0596222766241564e-11,1000000.0,1
0.35384615384615387,9444836.627841271,1.0608183551394482e-05,4.906773639685718e-11,1000000.0,1
0.35384615384615387,5889334.804807739,1.3433993325988988e-05,7.869084975045423e-11,1000000.0,1
0.35384615384615387,3672299.0328318453,1.7012542798525893e-05,1.2619799374339046e-10,1000000.0,1
0.35384615384615387,2289864.7495191107,2.1544346900318823e-05,2.0238609589142402e-10,1000000.0,1
0.35384615384615387,1427846.837033225,2.7283333764867696e-05,3.245703963095898e-10,1000000.0,1
0.35384615384615387,890334.934414241,3.455107294592218e-05,5.205196844748923e-10,1000000.0,1
0.35384615384615387,555168.9921462705,4.37547937507418e-05,8.34767330806808e-10,7.456496793499245e-08,1
0.35384615384615387,346176.02151558275,5.541020330009492e-05,1.3387324659253859e-09,4.2354769947041764e-08,1
0.35384615384615387,215858.29929219183,7.017038286703822e-05,2.1469517014364625e-09,2.9084492058372808e-08,1
0.35384615384615387,134598.5850672025,8.886238162743407e-05,3.4431108938056117e-09,1.868140049386805e-08,1
0.35384615384615387,83929.0266441644,0.00011253355826007646,5.521794898407332e-09,1.2422942934790345e-08,1
0.35384615384615387,52333.98113902781,0.00014251026703029977,8.855449191008181e-09,8.368397863397286e-09,0
0.35384615384615387,32632.861118578418,0.00018047217668271703,1.4201787919960843e-08,5.842723298689901e-09,0
0.35384615384615387,20348.206518189618,0.00022854638641349906,2.2776103954856286e-08,4.43664384341241e-09,0
0.35384615384615387,12688.094748440422,0.0002894266124716752,3.6527754977678266e-08,3.6979276563850956e-09,0
0.35384615384615387,7911.621658950874,0.0003665241237079626,5.858391503803216e-08,3.5566675070597093e-09,0
0.35384615384615387,4933.24639040077,0.00046415888336127773,9.396192915497847e-08,4.142431451727458e-09,0
0.35384615384615387,3076.0798465811145,0.0005878016072274912,1.5071295281900173e-07,6.462024357150409e-09,0
0.35384615384615387,1918.0471896959307,0.0007443803013251688,2.4175781795139406e-07,1.3806690193272742e-08,0
0.35384615384615387,1195.9623665651056,0.0009426684551178855,3.878333978295354e-07,6.916948772052872e-08,0
0.35384615384615387,745.7141039883098,0.0011937766417144358,6.222198195123015e-07,5.865780445536533e-07,0
0.35384615384615387,464.9693692745455,0.0015117750706156615,9.983231155325564e-07,1.3382449849378586e-05,1
0.35384615384615387,289.91745060260746,0.0019144819761699576,1.6018364758535182e-06,179487.17950981826,1
0.35384615384615387,180.76879319793252,0.0024244620170823282,2.570243799990088e-06,1000000.0,1
0.35384615384615387,112.71265985580989,0.00307029062975785,4.12409830915653e-06,1000000.0,1
0.35384615384615387,70.27857802683691,0.003888155180308085,6.617185793273051e-06,1000000.0,1
0.35384615384615387,43.820255711272246,0.0049238826317067365,1.061697483423163e-05,1000000.0,1
0.35384615384615387,27.32303352953679,0.006235507341273912,1.703364054217046e-05,1000000.0,1
0.35384615384615387,17.036687274962816,0.007896522868499725,2.7326988478340554e-05,1000000.0,1
0.35384615384615387,10.622912511962033,0.01,4.3838310640079085e-05,1000000.0,1
0.4076923076923077,865204262.7625667,1e-06,4.3637414488212254e-13,1000000.0,1
0.4076923076923077,539498753.2088323,1.2663801734674021e-06,6.998213955324158e-13,1000000.0,1
0.4076923076923077,336404843.61727697,1.6037187437513308e-06,1.1223166895411327e-12,1000000.0,1
0.4076923076923077,209765487.19467932,2.030917620904735e-06,1.799880312077372e-12,1000000.0,1
0.4076923076923077,130799423.52796869,2.571913809059347e-06,2.8865017946166364e-12,1000000.0,1
0.4076923076923077,81560076.5574664,3.257020655659783e-06,4.62913703607342e-12,1000000.0,1
0.4076923076923077,50856845.606085464,4.124626382901348e-06,7.423833842837408e-12,1000000.0,1
0.4076923076923077,31711823.4063015,5.223345074266844e-06,1.1905741511626154e-11,1000000.0,1
