#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B->K  mu  mu) 

0.01,2.3513401847945626e+19,1e-06,0.0
0.01,2.0829741826662088e+18,3.359818286283781e-06,0.0
0.01,1.8452376537055866e+17,1.1288378916846883e-05,0.0
0.01,1.6346347578320516e+16,3.792690190732254e-05,0.0
0.01,1448068646414013.5,0.00012742749857031334,0.0
0.01,128279592409793.84,0.0004281332398719391,0.0
0.01,11363863080887.258,0.0014384498882876629,0.0
0.01,1006686891983.6259,0.004832930238571752,0.0
0.01,89179049176.81525,0.01623776739188721,0.0
0.01,7900076494.192907,0.05455594781168514,0.0
0.01,2351341178.6654696,0.1,0.0
0.01,1136387643.9856856,0.14384498882876628,0.0
0.01,699843181.2482413,0.18329807108324336,0.0
0.01,549209523.6030271,0.20691380811147897,0.0
0.01,265431143.22134683,0.29763514416313175,0.0
0.01,128283991.12144525,0.42813323987193935,0.0
0.01,62002776.335436426,0.6158482110660255,0.0
0.01,62002776.33543626,0.6158482110660264,0.0
0.01,29970409.925180033,0.8858667904100825,0.0
0.01,14489898.893506452,1.2742749857031335,0.0
0.01,6998466.45096748,1.8329807108324356,0.0
0.01,5494866.037395144,2.06913808111479,0.0
0.01,3383198.6695795124,2.636650898730358,0.0
0.01,1634605.3969765063,3.79269019073225,0.0
0.01,789334.4126394211,5.455594781168517,0.0
0.01,486014.28875551245,6.951927961775605,0.0
0.01,381438.68811773544,7.847599703514611,0.0
0.01,184300.10731099828,11.288378916846883,0.0
0.01,89092.04805448477,16.23776739188721,0.0
0.01,43040.999898679605,23.357214690901213,0.0
0.01,43040.999898679605,23.357214690901213,0.0
0.01,20799.251869045023,33.59818286283781,0.0
0.01,10053.184340631275,48.32930238571752,0.0
0.01,4859.0470618505,69.51927961775606,0.0
0.01,3812.5066633439146,78.47599703514607,0.0
0.01,2347.821563372905,100.0,0.0
0.01,337.7267952313893,263.6650898730355,0.0
0.01,29.922645510046934,885.8667904100832,0.0
0.01,2.650415612515928,2976.3514416313133,0.0
0.01,0.23482171718970785,10000.0,0.0
0.012115276586285882,1.3223596905461314e+19,1e-06,0.0
0.012115276586285882,1.1714345348317706e+18,3.359818286283781e-06,0.0
0.012115276586285882,1.0377349515469533e+17,1.1288378916846883e-05,0.0
0.012115276586285882,9192949308232908.0,3.792690190732254e-05,0.0
0.012115276586285882,814372849809010.0,0.00012742749857031334,0.0
0.012115276586285882,72142586266062.33,0.0004281332398719391,0.0
0.012115276586285882,6390872135060.916,0.0014384498882876629,0.0
