#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B->K  mu  mu) 
0.012115276586285882,48.357732420748775,33.59818286283781,0.0
0.012115276586285882,23.37252839097557,48.32930238571752,0.0
0.012115276586285882,11.297025238689221,69.51927961775606,0.0
0.012115276586285882,8.865838226624685,78.47599703514607,0.0
0.012115276586285882,5.460521676685595,100.0,0.0
0.012115276586285882,0.7852045070137392,263.6650898730355,0.0
0.012115276586285882,0.06955242862162536,885.8667904100832,0.0
0.012115276586285882,0.006161413209410702,2976.3514416313133,0.0
0.012115276586285882,0.0005458277726515359,10000.0,0.0
0.014677992676220698,3.0748242657404536e+16,1e-06,0.0
0.014677992676220698,2723884703366537.0,3.359818286283781e-06,0.0
0.014677992676220698,241299899961844.06,1.1288378916846883e-05,0.0
0.014677992676220698,21375956790547.95,3.792690190732254e-05,0.0
0.014677992676220698,1893625023399.4988,0.00012742749857031334,0.0
0.014677992676220698,167749952172.67227,0.0004281332398719391,0.0
0.014677992676220698,14860411173.023178,0.0014384498882876629,0.0
0.014677992676220698,1316434475.7576816,0.004832930238571752,0.0
0.014677992676220698,116618559.1297174,0.01623776739188721,0.0
0.014677992676220698,10330851.588641359,0.05455594781168514,0.0
0.014677992676220698,3074825.0301870154,0.1,0.0
0.014677992676220698,1486041.8565315779,0.14384498882876628,0.0
0.014677992676220698,915176.4824239399,0.18329807108324336,0.0
0.014677992676220698,718194.0125200314,0.20691380811147897,0.0
0.014677992676220698,347098.48285581416,0.29763514416313175,0.0
0.014677992676220698,167750.57665538514,0.42813323987193935,0.0
0.014677992676220698,81072.95912937872,0.6158482110660255,0.0
0.014677992676220698,81072.95912937849,0.6158482110660264,0.0
0.014677992676220698,39182.24822938094,0.8858667904100825,0.0
0.014677992676220698,18936.741774365983,1.2742749857031335,0.0
0.014677992676220698,9152.217464331245,1.8329807108324356,0.0
0.014677992676220698,7182.384301422486,2.06913808111479,0.0
0.014677992676220698,4416.305208614703,2.636650898730358,0.0
0.014677992676220698,2134.3123161473995,3.79269019073225,0.0
0.014677992676220698,1031.4675145629483,5.455594781168517,0.0
0.014677992676220698,635.2177123817604,6.951927961775605,0.0
0.014677992676220698,498.4913131873119,7.847599703514611,0.0
0.014677992676220698,240.9195470395819,11.288378916846883,0.0
0.014677992676220698,116.44081594112888,16.23776739188721,0.0
0.014677992676220698,56.280829468958,23.357214690901213,0.0
0.014677992676220698,56.280829468958,23.357214690901213,0.0
0.014677992676220698,27.193122201329864,33.59818286283781,0.0
0.014677992676220698,13.143131195034867,48.32930238571752,0.0
0.014677992676220698,6.352683909145633,69.51927961775606,0.0
0.014677992676220698,4.985548556297796,78.47599703514607,0.0
0.014677992676220698,3.0706285509207105,100.0,0.0
0.014677992676220698,0.4415459744544611,263.6650898730355,0.0
0.014677992676220698,0.03911158764868952,885.8667904100832,0.0
0.014677992676220698,0.0034647625901354628,2976.3514416313133,0.0
0.014677992676220698,0.00030693666897295234,10000.0,0.0
