#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) 

0.12182841894634397,57.64573140867981,2.636650898730358,0.04039003526473805
0.12182841894634397,35.501010260650716,3.359818286283788,0.06558458838585687
0.12182841894634397,27.85976839389976,3.79269019073225,0.08357290048257845
0.12182841894634397,13.464427861455864,5.455594781168517,0.17292436088654403
0.12182841894634397,6.507262761752111,7.847599703514611,0.357805085303298
0.12182841894634397,3.144914262304949,11.288378916846883,0.7403491420568538
0.12182841894634397,2.468002734398491,12.742749857031322,0.9434087289538199
0.12182841894634397,1.5199149774687608,16.23776739188721,1.531886062644374
0.12182841894634397,0.7345642563622466,23.357214690901213,3.1696858878293375
0.12182841894634397,0.35500976417494395,33.59818286283781,6.558520796242374
0.12182841894634397,0.1715737368829461,48.32930238571752,13.570489480490059
0.12182841894634397,0.1715737368829461,48.32930238571752,13.570489480490059
0.12182841894634397,0.08292038824987062,69.51927961775606,28.07922281407928
0.12182841894634397,0.04007484455081629,100.0,58.0997982042093
0.12182841894634397,0.011927681942115943,183.29807108324374,195.20479574825157
0.12182841894634397,0.0008292038442598156,695.192796177562,2807.923564536452
0.12182841894634397,5.764565369171515e-05,2636.6508987303664,40390.574887409086
0.12182841894634397,4.007484313755932e-06,10000.0,580998.1850741686
0.13446922818258508,3.154701902250702e+16,1e-07,1.9337885787117087e-16
0.13446922818258508,2193126036529426.5,3.792690190732254e-07,2.781657965072525e-15
0.13446922818258508,152464542167572.4,1.438449888287663e-06,4.0012755901993316e-14
0.13446922818258508,10599225135871.365,5.455594781168514e-06,5.755634447884211e-13
0.13446922818258508,736850493150.8833,2.06913808111479e-05,8.279192179672518e-12
0.13446922818258508,51225312435.174385,7.847599703514623e-05,1.190921560024817e-10
0.13446922818258508,3561139534.0475054,0.00029763514416313193,1.713156702527286e-09
0.13446922818258508,247550713.06812307,0.0011288378916846883,2.4664242793596166e-08
0.13446922818258508,17202271.872785073,0.004281332398719396,3.5599182783360314e-07
0.13446922818258508,1195294.6275598886,0.01623776739188724,5.138012588831657e-06
0.13446922818258508,83077.2783067876,0.06158482110660267,7.401452844312857e-05
0.13446922818258508,31507.507658752405,0.1,0.00019519467688170614
0.13446922818258508,15227.084395546659,0.14384498882876628,0.0004039305567044671
0.13446922818258508,7359.050105015259,0.20691380811147897,0.0008358549268323714
0.13446922818258508,5775.06867905449,0.23357214690901212,0.001065131353359982
0.13446922818258508,3556.545809247844,0.29763514416313175,0.001729596328772685
0.13446922818258508,1718.8430257296145,0.42813323987193935,0.0035789142064650125
0.13446922818258508,830.7012120150666,0.6158482110660264,0.007405470842920584
0.13446922818258508,401.4708762049808,0.8858667904100825,0.015323234938913076
0.13446922818258508,401.47087620498024,0.8858667904100832,0.015323234938913044
0.13446922818258508,194.02766132486522,1.2742749857031335,0.031706311668699555
0.13446922818258508,93.77207634528379,1.8329807108324356,0.06560534592874227
0.13446922818258508,45.319343636935045,2.636650898730358,0.13574739663229793
0.13446922818258508,27.90982257842811,3.359818286283788,0.22042416464971146
0.13446922818258508,21.902506924244385,3.79269019073225,0.28088137034067656
0.13446922818258508,10.585323523052482,5.455594781168517,0.5811841567421194
0.13446922818258508,5.115811239790993,7.847599703514611,1.2025528856257914
0.13446922818258508,2.472435287303709,11.288378916846883,2.4882517323897018
0.13446922818258508,1.9402681209383166,12.742749857031322,3.1707181888285745
0.13446922818258508,1.194910525921298,16.23776739188721,5.148541827575827
0.13446922818258508,0.57749185398112,23.357214690901213,10.653051744502626
0.13446922818258508,0.2790977617395716,33.59818286283781,22.042646246606264
0.13446922818258508,0.13488599362118478,48.32930238571752,45.60929487183809
0.13446922818258508,0.13488599362118478,48.32930238571752,45.60929487183809
0.13446922818258508,0.0651894571790111,69.51927961775606,94.37195205290752
0.13446922818258508,0.03150560902547656,100.0,195.26863312718766
0.13446922818258508,0.009377176219499173,183.29807108324374,656.0672404416026
0.13446922818258508,0.0006518945193583977,695.192796177562,9437.199963829777
0.13446922818258508,4.5319237074329803e-05,2636.6508987303664,135749.3979375734
0.13446922818258508,3.15056070876722e-06,10000.0,1952687.084224801
0.14842163662965904,3.474629631938426e+16,1e-07,4.408148104116232e-19
0.14842163662965904,2415537489506884.0,3.792690190732254e-07,6.340900149666866e-18
0.14842163662965904,167926426158412.2,1.438449888287663e-06,9.121067147848869e-17
0.14842163662965904,11674124173544.746,5.455594781168514e-06,1.3120198750772364e-15
0.14842163662965904,811576700981.7311,2.06913808111479e-05,1.887276335783131e-14
0.14842163662965904,56420225743.10509,7.847599703514623e-05,2.714797642907037e-13
0.14842163662965904,3922289108.6837397,0.00029763514416313193,3.9079855816934765e-12
0.14842163662965904,272664624.90749764,0.0011288378916846883,5.6854015836881005e-11
0.14842163662965904,18951172.680758048,0.004281332398719396,8.412931629653328e-10
0.14842163662965904,1317122.0762085733,0.01623776739188724,1.233981741669487e-08
0.14842163662965904,91554.3511076191,0.06158482110660267,1.787698508642128e-07
0.14842163662965904,34723.063884783136,0.1,4.718562964333481e-07
0.14842163662965904,16781.253152004632,0.14384498882876628,9.768525025915875e-07
0.14842163662965904,8110.207523125923,0.20691380811147897,2.021992844887682e-06
0.14842163662965904,6364.554879167641,0.23357214690901212,2.5768249268177786e-06
0.14842163662965904,3919.5880222288683,0.29763514416313175,4.184868426264335e-06
0.14842163662965904,1894.3032194225268,0.42813323987193935,8.660639884286838e-06
0.14842163662965904,915.5013938940261,0.6158482110660264,1.792232418741837e-05
0.14842163662965904,442.45471638454956,0.8858667904100825,3.708702782047365e-05
0.14842163662965904,442.45471638454904,0.8858667904100832,3.708702782047222e-05
0.14842163662965904,213.835035082231,1.2742749857031335,7.674288431189618e-05
0.14842163662965904,103.3448990205326,1.8329807108324356,0.00015879839618372697
0.14842163662965904,49.945841267998134,2.636650898730358,0.00032858555682028964
0.14842163662965904,30.759048681048462,3.359818286283788,0.0005335573579643459
0.14842163662965904,24.138467415013846,3.79269019073225,0.0006799029177807071
0.14842163662965904,11.665949801830466,5.455594781168517,0.0014068332062005702
0.14842163662965904,5.6380711117582445,7.847599703514611,0.0029109612066958554
0.14842163662965904,2.7248400854141823,11.288378916846883,0.006023222473771416
0.14842163662965904,2.13834535294741,12.742749857031322,0.007675255594390745
0.14842163662965904,1.316896086484797,16.23776739188721,0.012462939109130683
0.14842163662965904,0.6364466521177717,23.357214690901213,0.025787628396695284
0.14842163662965904,0.3075902137111811,33.59818286283781,0.05335828834641179
0.14842163662965904,0.1486562000195958,48.32930238571752,0.11040584532421473
0.14842163662965904,0.1486562000195958,48.32930238571752,0.11040584532421473
0.14842163662965904,0.0718445029194179,69.51927961775606,0.22844519637535254
0.14842163662965904,0.03472194655838738,100.0,0.4726850255857765
0.14842163662965904,0.010334471413721884,183.29807108324374,1.5881370822139755
0.14842163662965904,0.00071844499833705,695.192796177562,22.8445724831735
