# m [GeV], tau [ps], c, BR_theo(B->K mu mu)
0.01,902.0503577163174,1e-06,0.0
0.01,79.9096455270703,3.359818286283781e-06,0.0
0.01,7.07893012966283,1.1288378916846883e-05,0.0
0.01,0.627098919938626,3.792690190732254e-05,0.0
0.01,0.05555261794844337,0.00012742749857031334,0.0
0.01,0.004921226256842166,0.0004281332398719391,0.0
0.01,0.00043595638712130066,0.0014384498882876629,0.0
0.01,3.862008157398942e-05,0.004832930238571752,0.0
0.01,3.4212329192947387e-06,0.01623776739188721,0.0
0.01,3.030759410453513e-07,0.05455594781168514,0.0
0.01,2.6848499098063936e-08,0.18329807108324336,0.0
0.01,2.378419588278782e-09,0.6158482110660255,0.0
0.01,2.1069629842922415e-10,2.06913808111479,0.0
0.01,1.866488551570286e-11,6.951927961775605,0.0
0.01,1.6534602265172698e-12,23.357214690901213,0.0
0.01,1.4647455049905982e-13,78.47599703514607,0.0
0.01,1.2975693995518055e-14,263.6650898730355,0.0
0.01,1.1494736393886413e-15,885.8667904100832,0.0
0.01,1.018280523605557e-16,2976.3514416313133,0.0
0.01,9.02060899188649e-18,10000.0,0.0
0.012742749857031334,509.1855679578698,1e-06,0.0
0.012742749857031334,45.107058488280146,3.359818286283781e-06,0.0
0.012742749857031334,3.9958845199476776,1.1288378916846883e-05,0.0
0.012742749857031334,0.3539821462318251,3.792690190732254e-05,0.0
0.012742749857031334,0.031358108458785276,0.00012742749857031334,0.0
0.012742749857031334,0.002777914103805029,0.0004281332398719391,0.0
0.012742749857031334,0.00024608721312091716,0.0014384498882876629,0.0
0.012742749857031334,2.180017103489919e-05,0.004832930238571752,0.0
0.012742749857031334,1.9312112853744538e-06,0.01623776739188721,0.0
0.012742749857031334,1.7107981803027462e-07,0.05455594781168514,0.0
0.012742749857031334,1.5155399349176624e-08,0.18329807108324336,0.0
0.012742749857031334,1.3425666715519762e-09,0.6158482110660255,0.0
0.012742749857031334,1.189335274385313e-10,2.06913808111479,0.0
0.012742749857031334,1.053592634436435e-11,6.951927961775605,0.0
0.012742749857031334,9.333427286855752e-13,23.357214690901213,0.0
0.012742749857031334,8.2681732826184e-14,78.47599703514607,0.0
0.012742749857031334,7.324500130665057e-15,263.6650898730355,0.0
0.012742749857031334,6.488531422700418e-16,885.8667904100832,0.0
0.012742749857031334,5.747974506058168e-17,2976.3514416313133,0.0
0.012742749857031334,5.091939727081722e-18,10000.0,0.0
0.016237767391887217,283.31701008465944,1e-06,0.0
0.016237767391887217,25.098113044126897,3.359818286283781e-06,0.0
