#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B->K  mu  mu) 

0.3,0.6130275200972831,37.5,3.430735580596293e-06
0.3,0.5970018339214607,38.0,3.5232942480040333e-06
0.3,0.5815966415145681,38.5,3.617196950407185e-06
0.3,0.5667803219144807,39.0,3.712450838100684e-06
0.3,0.5525232431657575,39.5,3.8090632849757907e-06
0.3,0.5387976139321872,40.0,3.9070418227790275e-06
0.3,0.5255768825035756,40.5,4.006073514377097e-06
0.3,0.5128337558979842,41.0,4.10410970448969e-06
0.3,0.5005493732900218,41.5,4.2039902246641975e-06
0.3,0.48870195411121964,42.0,4.305733491225437e-06
0.3,0.47727103921896114,42.5,4.4093919953077e-06
0.3,0.46623739150309285,43.0,4.515051634064023e-06
0.3,0.45558290807177604,43.5,4.622833202041879e-06
0.3,0.44529054186215133,44.0,4.732895667464793e-06
0.3,0.43542897063004316,44.5,4.9296837639921315e-06
0.3,0.4257920068431417,45.0,5.026545320117682e-06
0.3,0.41647361513693715,45.5,5.126512942211479e-06
0.3,0.4074594753050824,46.0,5.229236844567619e-06
0.3,0.3987361635105189,46.5,5.334446401942213e-06
0.3,0.39029106074827813,47.0,5.4419303007998775e-06
0.3,0.3821122780382887,47.5,5.551522225716636e-06
0.3,0.3741885938233628,48.0,5.66309038629909e-06
0.3,0.3665094005195236,48.5,5.776529752367072e-06
0.3,0.35906465811136357,49.0,5.891756227566947e-06
0.3,0.3518448533046608,49.5,6.008702229193165e-06
0.3,0.34484096316267543,50.0,6.12731330094608e-06
0.3,0.33804442243444155,50.5,6.247545493074812e-06
0.3,0.33144709397888744,51.0,6.3693633187207984e-06
0.3,0.3250412418265203,51.5,6.492738147095827e-06
0.3,0.3188195065194906,52.0,6.617646930926398e-06
0.3,0.31277488244312,52.5,6.744071191742258e-06
0.3,0.3069006969157912,53.0,6.871996205722167e-06
0.3,0.3011905908446306,53.5,7.001410346619217e-06
0.3,0.295638500785624,54.0,7.132304552577516e-06
0.3,0.29023864227111706,54.5,7.264671891316902e-06
0.3,0.28498549428692993,55.0,7.398507203847211e-06
0.3,0.27987378479683267,55.5,7.533806811270084e-06
0.3,0.2748984772247649,56.0,7.670568272504209e-06
0.3,0.27005475781566185,56.5,7.808790183342389e-06
0.3,0.2653380238044792,57.0,7.948472009189168e-06
0.3,0.26074387233044133,57.5,8.089613945398272e-06
0.3,0.25626809003985385,58.0,8.232216800276706e-06
0.3,0.2519066433263114,58.5,8.376281896839351e-06
0.3,0.24765566916185675,59.0,8.521810990052271e-06
0.3,0.24351146647687064,59.5,8.66880619699432e-06
0.3,0.2394704880501105,60.0,8.81726993778447e-06
0.3,0.2355293328736043,60.5,8.967204885495108e-06
0.3,0.2316847389600372,61.0,9.118613923652702e-06
0.3,0.2279335765628567,61.5,9.271500110072161e-06
0.3,0.22427284178170445,62.0,9.425866646070506e-06
0.3,0.22069965052789758,62.5,9.58171685022808e-06
0.3,0.21721123282660898,63.0,9.739054135998364e-06
0.3,0.2138049274341443,63.5,9.897881992554934e-06
0.3,0.2104781767503365,64.0,1.0058203968480743e-05
0.3,0.20722852200749295,64.5,1.022002365778629e-05
0.3,0.20405359871869527,65.0,1.0383344687964757e-05
0.3,0.20095113236947254,65.5,1.0548170709817504e-05
0.3,0.1979189343379565,66.0,1.0714505388695136e-05
0.3,0.19495489802972696,66.5,1.0882352397114861e-05
0.3,0.192056995214413,67.0,1.1051715408387942e-05
0.3,0.18922327255207916,67.5,1.1222598091239808e-05
0.3,0.18645184829817346,68.0,1.1395004105220018e-05
0.3,0.18374090917659516,68.5,1.156893709684319e-05
0.3,0.18108870741110242,69.0,1.174440069629977e-05
0.3,0.17849355790594718,69.5,1.1921398514710116e-05
0.3,0.17595383556719363,70.0,1.2099934141820578e-05
0.3,0.17346797275674442,70.5,1.2280011144114903e-05
0.3,0.17103445687157778,71.0,1.2461633063197028e-05
0.3,0.16865182804122258,71.5,1.2644803414540565e-05
0.3,0.1663186769368835,72.0,1.2829525686453073e-05
0.3,0.16403364268606838,72.5,1.3015803339249523e-05
0.3,0.16179541088694743,73.0,1.3203639804616194e-05
0.3,0.1596027117170273,73.5,1.3393038485186258e-05
0.3,0.1574543181310328,74.0,1.3584002754170417e-05
0.3,0.15534904414322956,74.5,1.3776535955125754e-05
0.3,0.15328574318970234,75.0,1.3970641401918777e-05
0.3,0.15126330656633305,75.5,1.4166322378671333e-05
0.3,0.14928066193852302,76.0,1.4363582139803181e-05
0.3,0.14733677191891437,76.5,1.4562423910180788e-05
0.3,0.14543063270958076,77.0,1.4762850885267104e-05
0.3,0.14356127280537404,77.5,1.496486623138967e-05
0.3,0.14169548245875233,78.0,1.487512922668023e-05
0.3,0.1398958244876018,78.5,1.5062827002988293e-05
0.3,0.13813026229204342,79.0,1.5251955570160409e-05
0.3,0.13639793732849886,79.5,1.5442495723742622e-05
0.3,0.1346980182330333,80.0,1.563443047959909e-05
0.3,0.13302969975159884,80.5,1.5827744797652822e-05
0.3,0.1313922017255235,81.0,1.60224253448859e-05
0.3,0.1297847681280051,81.5,1.621846029138754e-05
0.3,0.1282066661478859,82.0,1.641583913428342e-05
0.3,0.12665718531740017,82.5,1.6614552545233343e-05
0.3,0.1251356366809533,83.0,1.6814592237958553e-05
0.3,0.1236413520022913,83.5,1.7015950852859136e-05
0.3,0.12217368300767606,84.0,1.7218621856207506e-05
0.3,0.12073200066289849,84.5,1.7422599451838767e-05
0.3,0.11931569448216367,85.0,1.7627878503622725e-05
0.3,0.11792417186703437,85.5,1.7834454467170825e-05
0.3,0.11655685747377834,86.0,1.8042323329605712e-05
0.3,0.11521319260757766,86.5,1.825148155623502e-05
0.3,0.11389263464219025,87.0,1.8461926043307607e-05
0.3,0.11259465646373872,87.5,1.8673654076009363e-05
0.3,0.11131874593740088,88.0,1.8886663291067526e-05
0.3,0.11006440539585936,88.5,1.91009516433846e-05
0.3,0.1088311511484376,89.0,1.9316517376210544e-05
0.3,0.10761851300991739,89.5,1.9533358994412594e-05
0.3,0.106426033848099,90.0,1.9751475240504188e-05
0.3,0.10525326914921761,90.5,1.99708650730835e-05
0.3,0.10409978660037991,91.0,2.0191527647422378e-05
0.3,0.10296516568824005,91.5,2.0413462297962026e-05
0.3,0.10184899731316777,92.0,2.0636668522489727e-05
0.3,0.10075088341821302,92.5,2.0861145967833167e-05
0.3,0.09967043663220082,93.0,2.1086894416894292e-05
0.3,0.09860727992633195,93.5,2.1313913776881565e-05
0.3,0.09756104628369212,94.0,2.1542204068623075e-05
0.3,0.09653137838111117,94.5,2.1771765416841967e-05
0.3,0.09551792828283226,95.0,2.200259804130042e-05
