#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) ,  BR_Na62(K+->pi+  a) ,  Allowed/excluded  (1/0) 

0.01,15352.99863872881,0.29763514416313175,16.755524855274363,9.56e-10,0
0.01,7419.997184197673,0.42813323987193935,34.66949267527922,9.56e-10,0
0.01,3586.0328919269236,0.6158482110660255,71.73596485029503,9.56e-10,0
0.01,3586.0328919269136,0.6158482110660264,71.73596485029591,9.56e-10,0
0.01,1733.1046852957213,0.8858667904100825,148.4316127731531,9.56e-10,0
0.01,837.5974058020174,1.2742749857031335,307.12549683859635,9.56e-10,0
0.01,404.8049836249798,1.8329807108324356,635.4850531422358,9.56e-10,0
0.01,317.67474707028026,2.06913808111479,809.7827043370959,9.56e-10,0
0.01,195.63942481026842,2.636650898730358,1314.906311854986,9.56e-10,0
0.01,94.55116927002537,3.79269019073225,2720.7227062943903,9.56e-10,0
0.01,45.69592052852519,5.455594781168517,5629.550935773667,9.56e-10,0
0.01,28.14175091739654,6.951927961775605,9141.133842475296,9.56e-10,0
0.01,22.08451961782417,7.847599703514611,11648.318186295854,9.56e-10,0
0.01,10.673294269103986,11.288378916846883,24101.978690589855,9.56e-10,0
0.01,5.158328662697153,16.23776739188721,49870.32186754588,9.56e-10,0
0.01,2.492984257734498,23.357214690901213,103188.58199091561,9.56e-10,0
0.01,2.492984257734498,23.357214690901213,103188.58199091561,9.56e-10,0
0.01,1.2048419004464317,33.59818286283781,213511.42438594025,9.56e-10,0
0.01,0.582291685369371,48.32930238571752,441784.61873758474,9.56e-10,0
0.01,0.28141750940007115,69.51927961775606,914113.3779750443,9.56e-10,0
0.01,0.22084519633543273,78.47599703514607,1164831.8115488163,9.56e-10,0
0.01,0.13600711908801688,100.0,1891426.800385092,9.56e-10,0
0.01,0.019563942526602335,263.6650898730355,13149062.856921954,9.56e-10,0
0.01,0.001733104697409505,885.8667904100832,148431603.90941557,9.56e-10,0
0.01,0.00015352998957463598,2976.3514416313133,1675552188.0943694,9.56e-10,0
0.01,1.3600711909637493e-05,10000.0,18914267993.9256,9.56e-10,0
0.02,570214788940494.4,1e-06,5.139331683687284e-10,4.04e-09,1
0.02,50513434495946.67,3.359818286283781e-06,5.8014723399830654e-09,4.04e-09,0
0.02,4474817412529.879,1.1288378916846883e-05,6.548921773622756e-08,4.04e-09,0
0.02,396409217276.656,3.792690190732254e-05,7.392670670458305e-07,4.04e-09,0
0.02,35116578935.664665,0.00012742749857031334,8.34512275969755e-06,4.04e-09,0
0.02,3110862799.8633657,0.0004281332398719391,9.420260796134333e-05,4.04e-09,0
0.02,275581503.3454089,0.0014384498882876629,0.0010633841718900123,4.04e-09,0
0.02,24412907.410883605,0.004832930238571752,0.012003746530152685,4.04e-09,0
0.02,2162661.3659451916,0.01623776739188721,0.13550203386010087,4.04e-09,0
0.02,191583.08866786704,0.05455594781168514,1.5295950562416796,4.04e-09,0
0.02,57021.86640115939,0.1,5.139159232619806,4.04e-09,0
0.02,27558.271351131534,0.14384498882876628,10.633628382852983,4.04e-09,0
0.02,16971.712450117135,0.18329807108324336,17.266637067945474,4.04e-09,0
0.02,13318.720670032375,0.20691380811147897,22.002442983820167,4.04e-09,0
0.02,6436.84491367724,0.29763514416313175,45.52608912820542,4.04e-09,0
0.02,3110.88228530579,0.42813323987193935,94.1997596134736,4.04e-09,0
0.02,1503.4677209708766,0.6158482110660255,194.9123025199837,4.04e-09,0
0.02,1503.4677209708723,0.6158482110660264,194.91230251998604,4.04e-09,0
0.02,726.6154660003696,0.8858667904100825,403.3004570684451,4.04e-09,0
0.02,351.1681873798164,1.2742749857031335,834.4843186584475,4.04e-09,0
0.02,169.71713571106872,1.8329807108324356,1726.6632599628022,4.04e-09,0
0.02,133.18721450112332,2.06913808111479,2200.243793647858,4.04e-09,0
0.02,82.0231079030246,2.636650898730358,3572.7046729846966,4.04e-09,0
0.02,39.64119590674577,3.79269019073225,7392.419246174816,4.04e-09,0
0.02,19.158313459966276,5.455594781168517,15295.936108687632,4.04e-09,0
0.02,11.798613077676212,6.951927961775605,24837.18520547477,4.04e-09,0
0.02,9.259079251087556,7.847599703514611,31649.403795075435,4.04e-09,0
0.02,4.474848411749194,11.288378916846883,65486.986502156586,4.04e-09,0
0.02,2.1626630210090187,16.23776739188721,135501.6173951424,4.04e-09,0
0.02,1.0451999512737495,23.357214690901213,280371.55632595875,4.04e-09,0
0.02,1.0451999512737495,23.357214690901213,280371.55632595875,4.04e-09,0
0.02,0.5051378450759076,33.59818286283781,580127.4636541513,4.04e-09,0
0.02,0.24412959664148548,48.32930238571752,1200363.8263701648,4.04e-09,0
0.02,0.11798613098399345,69.51927961775606,2483718.503504637,4.04e-09,0
0.02,0.09259079265494516,78.47599703514607,3164940.360268532,4.04e-09,0
0.02,0.0570218740198555,100.0,5139156.537176592,4.04e-09,0
0.02,0.00820231083207236,263.6650898730355,35727046.01898322,4.04e-09,0
0.02,0.0007266154771016431,885.8667904100832,403300432.98496765,4.04e-09,0
0.02,6.436845205692524e-05,2976.3514416313133,4552608104.671324,4.04e-09,0
0.02,5.702187402751602e-06,10000.0,51391565344.79803,4.04e-09,0
0.03,301423127961705.56,1e-06,1.00052416077984e-09,1.59e-08,1
0.03,26702073895229.66,3.359818286283781e-06,1.1294295837478389e-08,1.59e-08,1
0.03,2365448052786.404,1.1288378916846883e-05,1.274942904028652e-07,1.59e-08,0
0.03,209547190184.7847,3.792690190732254e-05,1.4392037863520962e-06,1.59e-08,0
0.03,18563091980.449383,0.00012742749857031334,1.624626986472426e-05,1.59e-08,0
0.03,1644444046.8182466,0.0004281332398719391,0.0001833934664558815,1.59e-08,0
0.03,145676245.439447,0.0014384498882876629,0.0020701943786657494,1.59e-08,0
0.03,12905022.22754238,0.004832930238571752,0.0233688719905273,1.59e-08,0
0.03,1143215.5524488203,0.01623776739188721,0.2637951139486879,1.59e-08,0
0.03,101273.75375473428,0.05455594781168514,2.977812883408207,1.59e-08,0
0.03,30142.63351833816,0.1,10.004905880372764,1.59e-08,0
0.03,14567.72543883752,0.14384498882876628,20.701528464427547,1.59e-08,0
0.03,8971.507936539541,0.18329807108324336,33.61465775157275,1.59e-08,0
0.03,7040.48039588962,0.20691380811147897,42.83431612590281,1.59e-08,0
0.03,3402.6151672959286,0.29763514416313175,88.63010780791926,1.59e-08,0
0.03,1644.4602094302159,0.42813323987193935,183.38792129741077,1.59e-08,0
0.03,794.7561594243192,0.6158482110660255,379.45491730659654,1.59e-08,0
0.03,794.756159424317,0.6158482110660264,379.45491730660115,1.59e-08,0
0.03,384.1001116223255,0.8858667904100825,785.1445989199644,1.59e-08,0
0.03,185.63290579078128,1.2742749857031335,1624.5725592294395,1.59e-08,0
0.03,89.71508883139984,1.8329807108324356,3361.4649052660425,1.59e-08,0
0.03,70.40481054631478,2.06913808111479,4283.430629974736,1.59e-08,0
0.03,43.35867672305998,2.636650898730358,6955.334982558661,1.59e-08,0
0.03,20.95494603640822,3.79269019073225,14391.548391181523,1.59e-08,0
0.03,10.127379252335436,5.455594781168517,29778.100695588324,1.59e-08,0
0.03,6.236928400670691,6.951927961775605,48352.98714562042,1.59e-08,0
0.03,4.89449174853612,7.847599703514611,61615.00195008027,1.59e-08,0
0.03,2.3654737193854984,11.288378916846883,127489.94664041953,1.59e-08,0
0.03,1.1432169473656641,16.23776739188721,263794.3031754615,1.59e-08,0
