#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) 

0.1,10.055615062399493,48.32930238571752,0.0006368017171477585
0.1,10.055615062399493,48.32930238571752,0.0006368017171477585
0.1,4.860226662922549,69.51927961775606,0.001318805112554774
0.1,2.348385656665201,100.0,0.0027217299350096734
0.1,0.6989916455262981,183.29807108324374,0.009148343010419556
0.1,0.0485958144078529,695.192796177562,0.13163615516906882
0.1,0.0033781589276396314,2636.6508987303664,1.8920161985428312
0.1,0.00023487847473518996,10000.0,27.256970979379265
0.11037591174995746,1.7489436371428262e+18,1e-07,2.726334118646399e-21
0.11037591174995746,1.2158530174622709e+17,3.792690190732254e-07,3.9216950084017436e-20
0.11037591174995746,8452522589505224.0,1.438449888287663e-06,5.641161746733777e-19
0.11037591174995746,587613281375215.2,5.455594781168514e-06,8.114528484401738e-18
0.11037591174995746,40850452015031.07,2.06913808111479e-05,1.1672342591893579e-16
0.11037591174995746,2839893996145.0957,7.847599703514623e-05,1.6790079897340578e-15
0.11037591174995746,197427384803.23013,0.00029763514416313193,2.4151688552171476e-14
0.11037591174995746,13725009568.771404,0.0011288378916846883,3.4740993689517426e-13
0.11037591174995746,954152778.4022683,0.004281332398719396,4.997317827951554e-12
0.11037591174995746,66332014.24263284,0.01623776739188724,7.188390848534858e-11
0.11037591174995746,4611354.391136143,0.06158482110660267,1.0340134422634565e-09
0.11037591174995746,1748944.3804456815,0.1,2.72633307879555e-09
0.11037591174995746,845253.2593788726,0.14384498882876628,5.641178849474016e-09
0.11037591174995746,408505.98097623565,0.20691380811147897,1.1672578720024765e-08
0.11037591174995746,320579.6711278816,0.23357214690901212,1.4874280325796441e-08
0.11037591174995746,197429.60094087047,0.29763514416313175,2.415383051456962e-08
0.11037591174995746,95418.57997829524,0.42813323987193935,4.9989218662892764e-08
0.11037591174995746,46118.15190660879,0.6158482110660264,1.0350474136114176e-07
0.11037591174995746,22292.261614346786,0.8858667904100825,2.1453318000938674e-07
0.11037591174995746,22292.26161434675,0.8858667904100832,2.1453318000938795e-07
0.11037591174995746,10777.75636870023,1.2742749857031335,4.4559359801327823e-07
0.11037591174995746,5205.569840433928,1.8329807108324356,9.290798400994408e-07
0.11037591174995746,2516.453788500417,2.636650898730358,1.9008891424137382e-06
0.11037591174995746,1548.546439158515,3.359818286283788,3.1004388789914586e-06
0.11037591174995746,1215.8304258823193,3.79269019073225,3.918723236550461e-06
0.11037591174995746,587.1143381345652,5.455594781168517,8.151946701250012e-06
0.11037591174995746,283.7174661228641,7.847599703514611,1.685961858132313e-05
0.11037591174995746,137.0836928316849,11.288378916846883,3.476784074974798e-05
0.11037591174995746,107.58566707196131,12.742749857031322,4.435232086460293e-05
0.11037591174995746,66.26745421921633,16.23776739188721,7.213852227498543e-05
0.11037591174995746,32.01416005114804,23.357214690901213,0.00014865455380570305
0.11037591174995746,15.470598276814068,33.59818286283781,0.0003072934032451148
0.11037591174995746,7.477623592600996,48.32930238571752,0.0006368293036679417
0.11037591174995746,7.477623592600996,48.32930238571752,0.0006368293036679417
0.11037591174995746,3.614193827102097,69.51927961775606,0.0013188622462253095
0.11037591174995746,1.7463224251181941,100.0,0.002721847833836826
0.11037591174995746,0.519788878125279,183.29807108324374,0.00914873930139102
