#m [GeV]	cWW
0.25955	10000
0.25956	85.291
0.29554	71.483
0.33672	59.039
0.36085	50.061
0.50424	35.013
0.53279	28.998
0.61060	24.458
0.69491	20.215
0.74321	17.066
0.84729	14.294
0.96504	11.891
1.1006	9.9446
1.2562	7.8049
1.5318	6.1402
1.8644	4.8202
1.8852	6.0640
2.1262	7.8183
2.5908	9.8957
2.7649	9.9976
3.3644	17.093
3.5659	20.321
4.0735	16.971
4.3765	1.4302
4.6459	1.1254
4.6458	10000
