#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.1,8.674179993758607,3.79269019073225,0.20153403094100347,2.464248181376912e-07,0
0.1,4.192170131189144,5.455594781168517,0.41700230462469035,1.9529703763207383e-07,0
0.1,2.0260463952468717,7.847599703514611,0.8628361635515652,1.855e-07,0
0.1,0.9791740270113879,11.288378916846883,1.7853283364714165,1.855e-07,0
0.1,0.768416567776288,12.742749857031322,2.274999629455607,1.855e-07,0
0.1,0.4732279556235017,16.23776739188721,3.6940925353280343,1.855e-07,0
0.1,0.22870776266712367,23.357214690901213,7.643589966900207,1.855e-07,0
0.1,0.11053286385377058,33.59818286283781,15.815646568066963,1.855e-07,0
0.1,0.053419761219500636,48.32930238571752,32.72476161341714,1.855e-07,0
0.1,0.053419761219500636,48.32930238571752,32.72476161341714,1.855e-07,0
0.1,0.025817397668747064,69.51927961775606,67.71205767375662,1.855e-07,0
0.1,0.012477368098498148,100.0,140.1056074749779,1.855e-07,0
0.1,0.003713703225331219,183.29807108324374,470.7294181929438,1.855e-07,0
0.1,0.00025817397125275373,695.192796177562,6771.20725028482,1.855e-07,0
0.1,1.794806846663488e-05,2636.6508987303664,97400.42487267281,1.855e-07,0
0.1,1.2477367897640194e-06,10000.0,1401056.3093917973,1.855e-07,0
0.10860369854989779,1.1473473265755562e+16,1e-07,1.476223187706314e-16,2.0046e-06,1
0.10860369854989779,797627596146582.0,3.792690190732254e-07,2.1234730795124406e-15,2.0046e-06,1
0.10860369854989779,55450495885040.234,1.438449888287663e-06,3.05450961541885e-14,2.0046e-06,1
0.10860369854989779,3854878526101.5527,5.455594781168514e-06,4.393759043808765e-13,2.0046e-06,1
0.10860369854989779,267988375903.33362,2.06913808111479e-05,6.320202792118313e-12,2.0046e-06,1
0.10860369854989779,18630355525.98661,7.847599703514623e-05,9.09131263942451e-11,2.0046e-06,1
0.10860369854989779,1295158610.1783857,0.00029763514416313193,1.3078512517109687e-09,2.0046e-06,1
0.10860369854989779,90027695.26078537,0.0011288378916846883,1.883694555734829e-08,2.0046e-06,1
0.10860369854989779,6256854.109691265,0.004281332398719396,2.7179714478661255e-07,2.0046e-06,1
0.10860369854989779,434889.72170463926,0.01623776739188724,3.917566833605153e-06,2.0046e-06,0
0.10860369854989779,30231.197126715317,0.06158482110660267,5.6392473101042125e-05,2.0046e-06,0
0.10860369854989779,11465.64276940178,0.1,0.0001487029918581593,2.0046e-06,0
0.10860369854989779,5541.237940088152,0.14384498882876628,0.00030770314471597937,2.0046e-06,0
0.10860369854989779,2678.03242281997,0.20691380811147897,0.0006367036631460706,2.0046e-06,0
0.10860369854989779,2101.6107543686326,0.23357214690901212,0.0008113433337043023,2.0046e-06,0
0.10860369854989779,1294.2712742715887,0.29763514416313175,0.0013174615908098947,2.0046e-06,0
0.10860369854989779,625.511227922305,0.42813323987193935,0.0027260587416624692,2.0046e-06,0
0.10860369854989779,302.30485913661346,0.6158482110660264,0.005640662323044511,1.8518488900944943e-06,0
0.10860369854989779,146.10171046122528,0.8858667904100825,0.011671410620562117,1.0828712027088033e-06,0
0.10860369854989779,146.10171046122508,0.8858667904100832,0.011671410620562189,1.0828712027088024e-06,0
0.10860369854989779,70.60989739508534,1.2742749857031335,0.02414990622455071,7.112300397717342e-07,0
0.10860369854989779,34.12525736043484,1.8329807108324356,0.049969700892151414,5.316185891904855e-07,0
0.10860369854989779,16.492494292606555,2.636650898730358,0.10339451366052183,3.35610935449416e-07,0
0.10860369854989779,10.156871736972711,3.359818286283788,0.16788984757674208,2.6333837708311555e-07,0
0.10860369854989779,7.970705915985478,3.79269019073225,0.21393796111302738,2.3840005484117386e-07,0
0.10860369854989779,3.852186053021869,5.455594781168517,0.4426678089917214,1.9141872592439367e-07,0
0.10860369854989779,1.8617344741724244,7.847599703514611,0.9159417224662711,1.855e-07,0
0.10860369854989779,0.899763225894331,11.288378916846883,1.8952111951236745,1.855e-07,0
0.10860369854989779,0.7060981506785463,12.742749857031322,2.4150206488555184,1.855e-07,0
0.10860369854989779,0.43484927079390956,16.23776739188721,3.921455521563484,1.855e-07,0
0.10860369854989779,0.21015961248422335,23.357214690901213,8.114035637364548,1.855e-07,0
0.10860369854989779,0.10156867241949699,33.59818286283781,16.789063990207293,1.855e-07,0
0.10860369854989779,0.04908743008673286,48.32930238571752,34.73889720304525,1.855e-07,0
0.10860369854989779,0.04908743008673286,48.32930238571752,34.73889720304525,1.855e-07,0
0.10860369854989779,0.023723612272691395,69.51927961775606,71.87958308900303,1.855e-07,0
0.10860369854989779,0.011465456228993474,100.0,148.72879411786178,1.855e-07,0
0.10860369854989779,0.003412522691979531,183.29807108324374,499.7017621999893,1.855e-07,0
0.10860369854989779,0.00023723611765040633,695.192796177562,7187.95994909452,1.855e-07,0
0.10860369854989779,1.6492483969495086e-05,2636.6508987303664,103395.20378824437,1.855e-07,0
0.10860369854989779,1.1465456041374321e-06,10000.0,1487288.2007079872,1.855e-07,0
0.11794763338717075,1.0441237002248966e+16,1e-07,1.9665731284905092e-16,2.0046e-06,1
0.11794763338717075,725867274712410.6,3.792690190732254e-07,2.8288168970833937e-15,2.0046e-06,1
0.11794763338717075,50461770033928.68,1.438449888287663e-06,4.069111351585707e-14,2.0046e-06,1
0.11794763338717075,3508065898850.3604,5.455594781168514e-06,5.853212809605182e-13,2.0046e-06,1
0.11794763338717075,243878212021.27713,2.06913808111479e-05,8.419554138329194e-12,2.0046e-06,1
0.11794763338717075,16954234482.319595,7.847599703514623e-05,1.211113157557031e-10,2.0046e-06,1
0.11794763338717075,1178636420.689863,0.00029763514416313193,1.7422828223341245e-09,2.0046e-06,1
0.11794763338717075,81927716.79859133,0.0011288378916846883,2.509594473326861e-08,2.0046e-06,1
0.11794763338717075,5693843.087516555,0.004281332398719396,3.6217358511572524e-07,2.0046e-06,1
