#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.02,2.511067234974108,69.51927961775606,95.50262865989546
0.02,1.2137475860028757,100.0,197.61669743742527
0.02,0.36113459563977585,183.29807108324374,664.1156632140268
0.02,0.02510352978573014,695.192796177562,9549.95863945127
0.02,0.0017451691163085745,2636.6508987303664,137374.86588429371
0.02,0.00012132487936458255,10000.0,1976444.2107258893
0.03,3.601138204607176e+17,1e-07,3.8488105964587064e-16
0.03,2.503485337882695e+16,3.792690190732254e-07,5.536321172516409e-15
0.03,1740404972232200.2,1.438449888287663e-06,7.963720572130842e-14
0.03,120991699912743.7,5.455594781168514e-06,1.1455412967335737e-12
0.03,8411255817661.7295,2.06913808111479e-05,1.647803750315309e-11
0.03,584744445124.5925,7.847599703514623e-05,2.370283120560856e-10
0.03,40651012585.636986,0.00029763514416313193,3.409533489976813e-09
0.03,2826029110.7765126,0.0011288378916846883,4.904443067685758e-08
0.03,196463508.05040023,0.004281332398719396,7.05479558107926e-07
0.03,13658001.640208764,0.01623776739188724,1.0147969879358628e-05
0.03,949494.5207463739,0.06158482110660267,0.0001459734539200602
0.03,360113.90999346884,0.1,0.00038488100386215127
0.03,174040.58381224948,0.14384498882876628,0.000796371818767668
0.03,84112.64102840296,0.20691380811147897,0.0016478027328385362
0.03,66008.250086718,0.23357214690901212,0.002099753451132351
0.03,40651.09090578393,0.29763514416313175,0.0034095291636935094
0.03,19646.423935512514,0.42813323987193935,0.007054777322766722
0.03,9495.011920173974,0.6158482110660264,0.014597270293913682
0.03,4588.902614129285,0.8858667904100825,0.03020361931441047
0.03,4588.902614129277,0.8858667904100832,0.03020361931441054
0.03,2217.8120908447318,1.2742749857031335,0.06249494126732768
0.03,1071.8791441976553,1.8329807108324356,0.12930931636349177
0.03,517.2238566037264,2.636650898730358,0.26755846371482994
0.03,318.5259316281794,3.359818286283788,0.43446386892868794
0.03,249.96398432728395,3.79269019073225,0.5536388313887015
0.03,120.80224956642483,5.455594781168517,1.145725167649468
0.03,58.38174346130494,7.847599703514611,2.3714201814737006
0.03,28.215743707159472,11.288378916846883,4.90935777007577
0.03,22.14285414835926,12.742749857031322,6.25723989076173
0.03,13.63718405540241,16.23776739188721,10.165429468280138
0.03,6.591434635068548,23.357214690901213,21.05223364429415
0.03,3.184773429574713,33.59818286283781,43.4364499654852
0.03,1.5392824276266646,48.32930238571752,89.86009856154611
0.03,1.5392824276266646,48.32930238571752,89.86009856154611
0.03,0.7440064777375425,69.51927961775606,185.92434439579702
0.03,0.35962241697053515,100.0,384.7198284307004
0.03,0.10700090925564834,183.29807108324374,1292.8991695691304
0.03,0.007437948466219415,695.192796177562,18591.84217190633
0.03,0.0005170777998286892,2636.6508987303664,267441.1399392555
0.03,3.594746266967279e-05,10000.0,3847738.0075339344
0.04,1.5192185105201094e+17,1e-07,6.347597283080361e-16
0.04,1.0561497643331814e+16,3.792690190732254e-07,9.130700602742033e-15
0.04,734227707849057.1,1.438449888287663e-06,1.3134055262002362e-13
0.04,51042981325062.88,5.455594781168514e-06,1.889268032439123e-12
0.04,3548471291260.9756,2.06913808111479e-05,2.7176173902075007e-11
0.04,246687167912.78928,7.847599703514623e-05,3.909156431352273e-10
0.04,17149514204.279861,0.00029763514416313193,5.623125631970941e-09
0.04,1192221873.3142734,0.0011288378916846883,8.088584436996843e-08
0.04,82882405.81548153,0.004281332398719396,1.1635023376923013e-06
0.04,5761925.182981016,0.01623776739188724,1.673639801716059e-05
0.04,400564.924087538,0.06158482110660267,0.0002407446862564186
0.04,151921.88882386175,0.1,0.0006347596363075137
0.04,73422.80731486809,0.14384498882876628,0.0013134051329474535
0.04,35484.747865915,0.20691380811147897,0.002717615712148102
0.04,27847.01660496565,0.23357214690901212,0.003462989141063419
0.04,17149.547245790967,0.29763514416313175,0.005623118496908446
0.04,8288.271433654749,0.42813323987193935,0.011634993264655296
0.04,4005.677385474564,0.6158482110660264,0.024074344771158773
0.04,1935.9284202863944,0.8858667904100825,0.049812898581122055
0.04,1935.9284202863919,0.8858667904100832,0.04981289858112217
0.04,935.6322893059468,1.2742749857031335,0.10306891166838743
0.04,452.1955408280387,1.8329807108324356,0.21326158943261622
0.04,218.20213440136396,2.636650898730358,0.44126707063841125
0.04,134.37709270628005,3.359818286283788,0.7165334860971796
0.04,105.45274389118183,3.79269019073225,0.9130811334712587
0.04,50.96305658905749,5.455594781168517,1.8895712789868333
0.04,24.629608344875475,7.847599703514611,3.911031713229668
0.04,11.903425199620646,11.288378916846883,8.09668994147833
0.04,9.341444647597573,12.742749857031322,10.319665760306881
0.04,5.753142713005198,16.23776739188721,16.765193001071687
0.04,2.7807400701097604,23.357214690901213,34.72010319402274
0.04,1.3435659430433988,33.59818286283781,71.63696027059825
0.04,0.649379773622032,48.32930238571752,148.20051628714208
0.04,0.649379773622032,48.32930238571752,148.20051628714208
0.04,0.3138753162577197,69.51927961775606,306.6331360735539
0.04,0.15171453935323076,100.0,634.4938199714959
0.04,0.045140660930673475,183.29807108324374,2132.295952314451
0.04,0.003137860339840181,695.192796177562,30662.336818142172
0.04,0.00021814051655231684,2636.6508987303664,441073.57603523124
0.04,1.5165219000817006e-05,10000.0,6345828.330731547
0.05,7.778372247624478e+16,1e-07,9.4737087611195e-16
0.05,5407468352535985.0,3.792690190732254e-07,1.3627455309102223e-14
0.05,375923304424116.5,1.438449888287663e-06,1.9602411567023183e-13
0.05,26133917315091.07,5.455594781168514e-06,2.8197086728753207e-12
