#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(KL->pi0  a) 

0.14989,113.87097459052522,0.8858667904100825,0.030645134884519774
0.14989,113.87097459052497,0.8858667904100832,0.030645134884618865
0.14989,55.033047472859906,1.2742749857031335,0.06340901830337715
0.14989,26.597087869218846,1.8329807108324356,0.13120201836434023
0.14989,12.854187003277126,2.636650898730358,0.2714750981400703
0.14989,7.916228064980243,3.359818286283788,0.44081495411051946
0.14989,6.212338899708899,3.79269019073225,0.5617194717278192
0.14989,3.002380049938243,5.455594781168517,1.1622751614964053
0.14989,1.451029332388131,7.847599703514611,2.404907814141737
0.14989,0.7012723535150563,11.288378916846883,4.976086363897896
0.14989,0.5503304713036833,12.742749857031322,6.340902388224616
0.14989,0.3389200361969933,16.23776739188721,10.296209825171342
0.14989,0.16379768911230164,23.357214690901213,21.30427989023921
0.14989,0.07916228046278767,33.59818286283781,44.08149688335213
0.14989,0.03825857789722772,48.32930238571752,91.21070397737468
0.14989,0.03825857789722772,48.32930238571752,91.21070397737468
0.14989,0.01849010379939755,69.51927961775606,188.72754115344063
0.14989,0.008936138176298155,100.0,390.5033425674955
0.14989,0.0026597087742574843,183.29807108324374,1312.0202719567067
0.14989,0.00018490103797285203,695.192796177562,18872.75414589195
0.14989,1.2854186960327807e-05,2636.6508987303664,271475.110962786
0.14989,8.936138175517531e-07,10000.0,3905033.4305050573
0.18003,7325882722295225.0,1e-07,7.475424211951256e-16
0.18003,509290089417923.25,3.792690190732254e-07,1.0753023122638623e-14
0.18003,35405480132591.555,1.438449888287663e-06,1.5467684910993248e-13
0.18003,2461363473134.7563,5.455594781168514e-06,2.2249489662219544e-12
0.18003,171112215332.092,2.06913808111479e-05,3.2004776520911585e-11
0.18003,11895597766.801968,7.847599703514623e-05,4.6037278347874814e-10
0.18003,826973266.0172853,0.00029763514416313193,6.622247568895212e-09
0.18003,57490542.9194886,0.0011288378916846883,9.525885999497444e-08
0.18003,3996695.8573227143,0.004281332398719396,1.3702800928809816e-06
0.18003,277847.1784831046,0.01623776739188724,1.971106448393702e-05
0.18003,19315.729698894833,0.06158482110660267,0.00028353519943158937
0.18003,7325.857516043897,0.1,0.0007475838954196185
0.18003,3540.535749854815,0.14384498882876628,0.0015468548787032255
0.18003,1711.116201031022,0.20691380811147897,0.0032006571651224105
0.18003,1342.815493527721,0.23357214690901212,0.004078517639733596
0.18003,826.9705136419025,0.29763514416313175,0.0066226028254548
0.18003,399.6690770325301,0.42813323987193935,0.013703081436312393
0.18003,193.15727572113758,0.6158482110660264,0.0283535701300311
0.18003,93.3515635063854,0.8858667904100825,0.05866745529721898
0.18003,93.35156350638522,0.8858667904100832,0.05866745529740869
0.18003,45.11615928871774,1.2742749857031335,0.12139107107122181
0.18003,21.80432500708293,1.8329807108324356,0.25117489533984977
0.18003,10.537878152260552,2.636650898730358,0.5197155517330102
0.18003,6.48973340439484,3.359818286283788,0.8439020324785167
0.18003,5.092882992680548,3.79269019073225,1.0753632549294525
0.18003,2.4613548201494684,5.455594781168517,2.2250750840911784
0.18003,1.1895556133000147,7.847599703514611,4.6039876219100515
0.18003,0.5749039292248268,11.288378916846883,9.526286159587107
0.18003,0.4511615904180209,12.742749857031322,12.139108175148312
0.18003,0.2778470583242317,16.23776739188721,19.711201530855732
0.18003,0.1342815449677823,23.357214690901213,40.78519780741491
0.18003,0.06489733390912207,33.59818286283781,84.39020606644283
0.18003,0.03136442874300035,48.32930238571752,174.6149892433197
0.18003,0.03136442874300035,48.32930238571752,174.6149892433197
0.18003,0.015158209608015756,69.51927961775606,361.30252406121986
0.18003,0.0073258569574695676,100.0,747.5848117433453
0.18003,0.0021804324915780217,183.29807108324374,2511.7491224666674
0.18003,0.0001515820960649286,695.192796177562,36130.25246460327
0.18003,1.053787812129665e-05,2636.6508987303664,519715.57628098817
0.18003,7.325856956906786e-07,10000.0,7475848.126680261
0.20008,6694182489349694.0,1e-07,1.072727421831346e-15
0.20008,465374744289154.0,3.792690190732254e-07,1.5430646401042253e-14
0.20008,32352516975047.24,1.438449888287663e-06,2.2196211593908125e-13
0.20008,2249123673695.794,5.455594781168514e-06,3.1928138130619826e-12
0.20008,156357457342.77957,2.06913808111479e-05,4.5927027590858736e-11
0.20008,10869857597.185062,7.847599703514623e-05,6.606374368867699e-10
0.20008,755664532.5667701,0.00029763514416313193,9.502961116176693e-09
0.20008,52533205.702210695,0.0011288378916846883,1.3669697985250388e-07
0.20008,3652064.6927887932,0.004281332398719396,1.9663593523869677e-06
0.20008,253888.63912163812,0.01623776739188724,2.8285484255997763e-05
0.20008,17650.148574211536,0.06158482110660267,0.00040687454632797846
0.20008,6694.15415551758,0.1,0.0010727869375680467
0.20008,3235.237912691912,0.14384498882876628,0.002219745126070138
0.20008,1563.567882786059,0.20691380811147897,0.004592960361257657
0.20008,1227.0254789899839,0.23357214690901212,0.005852694895321632
0.20008,755.6614396215999,0.29763514416313175,0.009503470911263166
0.20008,365.20589863936146,0.42813323987193935,0.019663996053654615
0.20008,176.50146189524966,0.6158482110660264,0.04068752665123113
0.20008,85.30192483440219,0.8858667904100825,0.08418811599450914
0.20008,85.301924834402,0.8858667904100832,0.08418811599478139
0.20008,41.22582505942004,1.2742749857031335,0.17419684423445878
0.20008,19.924153608694873,1.8329807108324356,0.3604373347480499
0.20008,9.629204430117854,2.636650898730358,0.7457946306309803
0.20008,5.93012831767273,3.359818286283788,1.2110039857425212
0.20008,4.653727321253378,3.79269019073225,1.5431520931593092
0.20008,2.249113947575454,5.455594781168517,3.1929947928871587
0.20008,1.0869810801451445,7.847599703514611,6.6067471647951495
0.20008,0.5253303729046727,11.288378916846883,13.670272217145643
0.20008,0.4122582478257103,12.742749857031322,17.419685956069152
0.20008,0.2538885043798545,16.23776739188721,28.285680919068117
0.20008,0.12270254298238813,23.357214690901213,58.52697967679555
0.20008,0.059301283025556116,33.59818286283781,121.10040261894575
0.20008,0.028659896389555482,48.32930238571752,250.57345498149493
0.20008,0.028659896389555482,48.32930238571752,250.57345498149493
0.20008,0.013851127988709891,69.51927961775606,518.4710782268545
0.20008,0.006694153529216889,100.0,1072.788252497556
