#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) 

0.4076923076923077,79095723.08901393,6.6147406412301455e-06,4.773365187619425e-12
0.4076923076923077,49320196.19168431,8.376776400682924e-06,7.655135233522123e-12
0.4076923076923077,30753644.53585763,1.0608183551394482e-05,1.2276683889045465e-11
0.4076923076923077,19176457.620687604,1.3433993325988988e-05,1.9688348138420418e-11
0.4076923076923077,11957494.220636835,1.7012542798525893e-05,3.1574573133596574e-11
0.4076923076923077,7456104.292922501,2.1544346900318823e-05,5.063673524825727e-11
0.4076923076923077,4649259.298910138,2.7283333764867696e-05,8.120708269290417e-11
0.4076923076923077,2899049.0422827345,3.455107294592218e-05,1.30233323873062e-10
0.4076923076923077,1807704.1517899989,4.37547937507418e-05,2.0885763097435192e-10
0.4076923076923077,1127195.2439299396,5.541020330009492e-05,3.3494891981274173e-10
0.4076923076923077,702863.4144669427,7.017038286703822e-05,5.371639209998319e-10
0.4076923076923077,438270.99002895737,8.886238162743407e-05,8.614600159701326e-10
0.4076923076923077,273284.18845722586,0.00011253355826007646,1.381540058616274e-09
0.4076923076923077,170406.54557872994,0.00014251026703029977,2.2156031434363064e-09
0.4076923076923077,106257.11345233985,0.00018047217668271703,3.553208828356951e-09
0.4076923076923077,66256.68466789788,0.00022854638641349906,5.698362089130998e-09
0.4076923076923077,41314.38367807447,0.0002894266124716752,9.138616748787468e-09
0.4076923076923077,25761.588492342824,0.0003665241237079626,1.4655919881768962e-08
0.4076923076923077,16063.626136488216,0.00046415888336127773,2.350443670699929e-08
0.4076923076923077,10016.449453194175,0.0005878016072274912,3.76958899948218e-08
0.4076923076923077,6245.724229355958,0.0007443803013251688,6.045752794980772e-08
0.4076923076923077,3894.484321162768,0.0009426684551178855,9.69673077285939e-08
0.4076923076923077,2428.3683946142573,0.0011937766417144358,1.5553418468351874e-07
0.4076923076923077,1514.1748813698587,0.0015117750706156615,2.4949278849527874e-07
0.4076923076923077,944.1348671066706,0.0019144819761699576,4.002441147397024e-07
0.4076923076923077,588.6927316888762,0.0024244620170823282,6.421339896634839e-07
0.4076923076923077,367.0629095429108,0.00307029062975785,1.0302782436875496e-06
0.4076923076923077,228.8708190558843,0.003888155180308085,1.6531128575727284e-06
0.4076923076923077,142.70510317846615,0.0049238826317067365,2.6525211771064785e-06
0.4076923076923077,88.97925927924187,0.006235507341273912,4.25611273327088e-06
0.4076923076923077,55.480344005205275,0.007896522868499725,6.828990613314749e-06
0.4076923076923077,34.593237800172936,0.01,1.0956774352183913e-05
0.46153846153846156,2940640500.7088804,1e-06,1.0919247098184725e-13
0.46153846153846156,1833638543.015865,1.2663801734674021e-06,1.751140123961645e-13
0.46153846153846156,1143366659.6159267,1.6037187437513308e-06,2.8083362398880744e-13
0.46153846153846156,712947119.9744096,2.030917620904735e-06,4.503781467064346e-13
0.46153846153846156,444558700.0481754,2.571913809059347e-06,7.222798757517666e-13
0.46153846153846156,277204903.7718956,3.257020655659783e-06,1.1583337752409817e-12
0.46153846153846156,172851321.24483028,4.124626382901348e-06,1.857641587550255e-12
0.46153846153846156,107781568.25127292,5.223345074266844e-06,2.9791346348597198e-12
0.46153846153846156,67207276.00267409,6.6147406412301455e-06,4.777694058525568e-12
0.46153846153846156,41907146.28438568,8.376776400682924e-06,7.662077524943954e-12
0.46153846153846156,26131231.825056847,1.0608183551394482e-05,1.2287817371949784e-11
0.46153846153846156,16294148.782441018,1.3433993325988988e-05,1.9706203113705234e-11
0.46153846153846156,10160228.429574294,1.7012542798525893e-05,3.160320749230385e-11
0.46153846153846156,6335417.890487471,2.1544346900318823e-05,5.0682656706476674e-11
0.46153846153846156,3950454.4709481187,2.7283333764867696e-05,8.128072779733422e-11
0.46153846153846156,2463308.779802568,3.455107294592218e-05,1.303514299103724e-10
0.46153846153846156,1535997.99225329,4.37547937507418e-05,2.0904703984782016e-10
0.46153846153846156,957772.6697366858,5.541020330009492e-05,3.352526783936627e-10
0.46153846153846156,597219.8450618959,7.017038286703822e-05,5.376510643845117e-10
0.46153846153846156,372396.86598112405,8.886238162743407e-05,8.622412570999556e-10
0.46153846153846156,232208.33141838587,0.00011253355826007646,1.3827929501018247e-09
0.46153846153846156,144793.6663845099,0.00014251026703029977,2.217612430326289e-09
0.46153846153846156,90286.18580329994,0.00018047217668271703,3.5564311635508354e-09
0.46153846153846156,56298.00347752377,0.00022854638641349906,5.703529821714669e-09
0.46153846153846156,35104.64382045967,0.0002894266124716752,9.146904380980487e-09
0.46153846153846156,21889.504520458162,0.0003665241237079626,1.466921104866428e-08
0.46153846153846156,13649.19003500547,0.00046415888336127773,2.3525752422633877e-08
0.46153846153846156,8510.931523509513,0.0005878016072274912,3.773007566788176e-08
0.46153846153846156,5306.9634586616385,0.0007443803013251688,6.051235572326256e-08
0.46153846153846156,3309.1256074711127,0.0009426684551178855,9.705524554622662e-08
0.46153846153846156,2063.3735759090487,0.0011937766417144358,1.556752357434722e-07
0.46153846153846156,1286.587507504102,0.0015117750706156615,2.497190489579378e-07
0.46153846153846156,802.2271011604763,0.0019144819761699576,4.0060708899488796e-07
0.46153846153846156,500.2095359694052,0.0024244620170823282,6.427163298070613e-07
0.46153846153846156,311.89168447097035,0.00307029062975785,1.031212585535243e-06
0.46153846153846156,194.4704938985218,0.003888155180308085,1.6546120382210816e-06
0.46153846153846156,121.2558771064159,0.0049238826317067365,2.6549267055759765e-06
0.46153846153846156,75.60527193769862,0.006235507341273912,4.259972534348706e-06
0.46153846153846156,47.14139599905671,0.007896522868499725,6.835183718486039e-06
0.46153846153846156,29.393716853561465,0.01,1.0966710882837601e-05
0.5153846153846153,2566820754.3730593,1e-06,1.0930376699623141e-13
0.5153846153846153,1600542965.7575974,1.2663801734674021e-06,1.7529249990054338e-13
0.5153846153846153,998019741.2954363,1.6037187437513308e-06,2.8111986774512125e-13
0.5153846153846153,622315942.3532616,2.030917620904735e-06,4.508372011837577e-13
0.5153846153846153,388045562.7084259,2.571913809059347e-06,7.230160700215577e-13
0.5153846153846153,241966095.49659804,3.257020655659783e-06,1.1595144237907582e-12
0.5153846153846153,150878136.47573757,4.124626382901348e-06,1.859535015760007e-12
0.5153846153846153,94080172.75812958,5.223345074266844e-06,2.9821711611714214e-12
0.5153846153846153,58663760.785093345,6.6147406412301455e-06,4.782563792692088e-12
0.5153846153846153,36579831.09917001,8.376776400682924e-06,7.66988720891554e-12
0.5153846153846153,22809380.531119354,1.0608183551394482e-05,1.2300341908547617e-11
0.5153846153846153,14222805.970172271,1.3433993325988988e-05,1.972628894788029e-11
0.5153846153846153,8868641.099078996,1.7012542798525893e-05,3.163541952124956e-11
0.5153846153846153,5530047.663089043,2.1544346900318823e-05,5.0734315741571386e-11
0.5153846153846153,3448265.2751302244,2.7283333764867696e-05,8.13635743614842e-11
0.5153846153846153,2150168.3388033696,3.455107294592218e-05,1.3048429250146966e-10
0.5153846153846153,1340739.0411174654,4.37547937507418e-05,2.092601140841374e-10
0.5153846153846153,836018.8081675728,5.541020330009492e-05,3.355943895630643e-10
0.5153846153846153,521300.13609596813,7.017038286703822e-05,5.381990730534626e-10
0.5153846153846153,325057.07659060386,8.886238162743407e-05,8.631201090457839e-10
0.5153846153846153,202689.57197587047,0.00011253355826007646,1.384202381936803e-09
0.5153846153846153,126387.22342581619,0.00014251026703029977,2.2198727640716824e-09
0.5153846153846153,78808.83620348593,0.00018047217668271703,3.5600561077996157e-09
0.5153846153846153,49141.295483657894,0.00022854638641349906,5.7093432276059596e-09
0.5153846153846153,30642.075531594408,0.0002894266124716752,9.156227496779125e-09
0.5153846153846153,19106.869572590316,0.0003665241237079626,1.4684162856707684e-08
0.5153846153846153,11914.079349306008,0.00046415888336127773,2.3549731391582828e-08
0.5153846153846153,7429.005915362774,0.0005878016072274912,3.776853260576214e-08
0.5153846153846153,4632.332291675789,0.0007443803013251688,6.057403384563578e-08
0.5153846153846153,2888.463342381601,0.0009426684551178855,9.71541705729539e-08
0.5153846153846153,1801.0736500277133,0.0011937766417144358,1.558339101178354e-07
0.5153846153846153,1123.034086316626,0.0015117750706156615,2.499735790005744e-07
0.5153846153846153,700.2464849737066,0.0019144819761699576,4.010154141492942e-07
0.5153846153846153,436.62196015125403,0.0024244620170823282,6.433714288596817e-07
0.5153846153846153,272.2434277503766,0.00307029062975785,1.0322636660212253e-06
0.5153846153846153,169.74903951304805,0.003888155180308085,1.6562985293989656e-06
0.5153846153846153,105.84160233197784,0.0049238826317067365,2.657632785042541e-06
0.5153846153846153,65.99418782868196,0.006235507341273912,4.264314585275403e-06
0.5153846153846153,41.14869324911087,0.007896522868499725,6.842150599558226e-06
0.5153846153846153,25.657132398226647,0.01,1.0977888897556756e-05
0.5692307692307693,2282772626.859046,1e-06,1.09427513636713e-13
0.5692307692307693,1423424547.319293,1.2663801734674021e-06,1.7549095470736701e-13
0.5692307692307693,887577421.4513181,1.6037187437513308e-06,2.814381334386295e-13
0.5692307692307693,553449552.7362983,2.030917620904735e-06,4.513476098419754e-13
0.5692307692307693,345103874.9066332,2.571913809059347e-06,7.238346219538313e-13
0.5692307692307693,215189774.54368734,3.257020655659783e-06,1.160827150867579e-12
0.5692307692307693,134181741.8888844,4.124626382901348e-06,1.8616402607793043e-12
0.5692307692307693,83669123.65677996,5.223345074266844e-06,2.9855473820710315e-12
0.5692307692307693,52171943.47547157,6.6147406412301455e-06,4.787978301436893e-12
0.5692307692307693,32531853.6504932,8.376776400682924e-06,7.678570558090744e-12
0.5692307692307693,20285261.22182185,1.0608183551394482e-05,1.2314267558411582e-11
0.5692307692307693,12648889.522387857,1.3433993325988988e-05,1.9748621773670876e-11
0.5692307692307693,7887224.3431582665,1.7012542798525893e-05,3.167123509278794e-11
0.5692307692307693,4918084.524998033,2.1544346900318823e-05,5.079175384552168e-11
0.5692307692307693,3066675.211662332,2.7283333764867696e-05,8.145568892682254e-11
0.5692307692307693,1912227.5751423044,3.455107294592218e-05,1.3063201836015967e-10
0.5692307692307693,1192370.903815665,4.37547937507418e-05,2.0949702482224916e-10
0.5692307692307693,743503.7478068116,5.541020330009492e-05,3.359743277797227e-10
0.5692307692307693,463612.30289679853,7.017038286703822e-05,5.388083871614886e-10
0.5692307692307693,289085.7865100599,8.886238162743407e-05,8.640972776924857e-10
0.5692307692307693,180259.64838738574,0.00011253355826007646,1.3857694861631116e-09
0.5692307692307693,112401.02898891317,0.00014251026703029977,2.2223859601528014e-09
0.5692307692307693,70087.7354735147,0.00018047217668271703,3.5640865726342146e-09
0.5692307692307693,43703.24806977947,0.00022854638641349906,5.715806976116601e-09
0.5692307692307693,27251.178772457493,0.0002894266124716752,9.166593584553881e-09
0.5692307692307693,16992.475525084225,0.0003665241237079626,1.4700787315459358e-08
0.5692307692307693,10595.649956185205,0.00046415888336127773,2.3576392874712324e-08
0.5692307692307693,6606.9012884367285,0.0005878016072274912,3.781129169993109e-08
0.5692307692307693,4119.711645980631,0.0007443803013251688,6.06426118644318e-08
0.5692307692307693,2568.821777480239,0.0009426684551178855,9.726416228418517e-08
0.5692307692307693,1601.7642140778216,0.0011937766417144358,1.5601033529725266e-07
0.5692307692307693,998.757497163832,0.0015117750706156615,2.502565831560392e-07
0.5692307692307693,622.7561882445269,0.0019144819761699576,4.014694183646187e-07
0.5692307692307693,388.3047376981745,0.0024244620170823282,6.440998133825774e-07
0.5692307692307693,242.11657332811137,0.00307029062975785,1.0334323301084675e-06
0.5692307692307693,150.96436349107984,0.003888155180308085,1.6581736870538148e-06
0.5692307692307693,94.12901644531878,0.0049238826317067365,2.6606415914714744e-06
0.5692307692307693,58.69117489223644,0.006235507341273912,4.2691423778842366e-06
0.5692307692307693,36.59511893761059,0.007896522868499725,6.849896859758601e-06
0.5692307692307693,22.817876773914232,0.01,1.0990317387173777e-05
0.6230769230769231,2058431005.7884686,1e-06,1.0956378109753496e-13
0.6230769230769231,1283536164.805856,1.2663801734674021e-06,1.7570948938845808e-13
0.6230769230769231,800349917.8396211,1.6037187437513308e-06,2.8178860160287444e-13
0.6230769230769231,499058778.8235739,2.030917620904735e-06,4.519096622061134e-13
0.6230769230769231,311188467.90404534,2.571913809059347e-06,7.247359958652975e-13
0.6230769230769231,194041797.6094417,3.257020655659783e-06,1.1622727011048566e-12
0.6230769230769231,120994905.34667262,4.124626382901348e-06,1.863958516790708e-12
0.6230769230769231,75446462.05051076,5.223345074266844e-06,2.9892652126915055e-12
0.6230769230769231,47044696.7948445,6.6147406412301455e-06,4.7939406560946115e-12
0.6230769230769231,29334755.219177254,8.376776400682924e-06,7.68813249802648e-12
0.6230769230769231,18291708.14833642,1.0608183551394482e-05,1.2329602220749655e-11
0.6230769230769231,11405808.04033101,1.3433993325988988e-05,1.9773214259184954e-11
0.6230769230769231,7112099.972876285,1.7012542798525893e-05,3.171067452300138e-11
0.6230769230769231,4434755.155301711,2.1544346900318823e-05,5.0855003599610137e-11
0.6230769230769231,2765294.828795411,2.7283333764867696e-05,8.155712374456408e-11
0.6230769230769231,1724301.6165884829,3.455107294592218e-05,1.3079469128269807e-10
0.6230769230769231,1075189.5348384639,4.37547937507418e-05,2.0975790644778968e-10
0.6230769230769231,670435.2196090805,5.541020330009492e-05,3.363927085604216e-10
0.6230769230769231,418050.3689766138,7.017038286703822e-05,5.394793523369608e-10
