#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) 

0.35384615384615387,1770949365.0531175,0.0005455594781168515,5.984719287188464e-16
0.35384615384615387,671666228.5190885,0.0008858667904100823,1.5779615490887306e-15
0.35384615384615387,254742191.6420957,0.0014384498882876629,4.160533739123972e-15
0.35384615384615387,96615821.14771496,0.002335721469090121,1.0969875040282504e-14
0.35384615384615387,36643387.720709115,0.003792690190732246,2.892373100844327e-14
0.35384615384615387,13897701.72342968,0.00615848211066026,7.62617822327015e-14
0.35384615384615387,5270967.707130939,0.01,2.010757028817861e-13
0.4076923076923077,345157333479053.56,1e-06,1.6187852030738736e-21
0.4076923076923077,130907483294530.64,1.6237767391887209e-06,4.268171460536119e-21
0.4076923076923077,49649152778461.305,2.6366508987303555e-06,1.1253678117357893e-20
0.4076923076923077,18830385472103.633,4.281332398719396e-06,2.967202052215388e-20
0.4076923076923077,7141781826775.471,6.951927961775606e-06,7.823475957688342e-20
0.4076923076923077,2708656587876.1226,1.1288378916846883e-05,2.062777491503532e-19
0.4076923076923077,1027309527090.008,1.8329807108324375e-05,5.438824126854067e-19
0.4076923076923077,389626676624.0111,2.9763514416313192e-05,1.4340280522109888e-18
0.4076923076923077,147773327447.95422,4.8329302385717524e-05,3.781031352669254e-18
0.4076923076923077,56045844946.37702,7.847599703514606e-05,9.969259714161258e-18
0.4076923076923077,21256452635.947277,0.00012742749857031334,2.6285457585146422e-17
0.4076923076923077,8061913940.2170105,0.00020691380811147902,6.93055753662951e-17
0.4076923076923077,3057634191.9637036,0.0003359818286283781,1.8273460758268909e-16
0.4076923076923077,1159665920.6756701,0.0005455594781168515,4.818073673546335e-16
0.4076923076923077,439825356.19215554,0.0008858667904100823,1.2703578284468733e-15
0.4076923076923077,166812131.41138077,0.0014384498882876629,3.3494901121470316e-15
0.4076923076923077,63266673.45476218,0.002335721469090121,8.831436128862577e-15
0.4076923076923077,23995089.18607291,0.003792690190732246,2.328541410672226e-14
0.4076923076923077,9100593.943046786,0.00615848211066026,6.139550873754486e-14
0.4076923076923077,3451573.342660254,0.01,1.6187852830887595e-13
0.46153846153846156,238181052698615.5,1e-06,1.3158600848039217e-21
0.46153846153846156,90334694218832.05,1.6237767391887209e-06,3.469463675201653e-21
0.46153846153846156,34261150864656.188,2.6366508987303555e-06,9.147764517332821e-21
0.46153846153846156,12994193080757.887,4.281332398719396e-06,2.4119461535999307e-20
0.46153846153846156,4928294863387.142,6.951927961775606e-06,6.359459993578544e-20
0.46153846153846156,1869149558540.459,1.1288378916846883e-05,1.6767675907509456e-19
0.46153846153846156,708910519568.793,1.8329807108324375e-05,4.421050775115844e-19
0.46153846153846156,268867797367.55002,2.9763514416313192e-05,1.1656767499544792e-18
0.46153846153846156,101973225767.97282,4.8329302385717524e-05,3.0734826503986846e-18
0.46153846153846156,38675285308.7551,7.847599703514606e-05,8.103700792420678e-18
0.46153846153846156,14668337521.432089,0.00012742749857031334,2.1366629977481133e-17
0.46153846153846156,5563245983.19198,0.00020691380811147902,5.633634413368129e-17
0.46153846153846156,2109966846.911746,0.0003359818286283781,1.4853927239623913e-16
0.46153846153846156,800245056.3087094,0.0005455594781168515,3.916462060949837e-16
0.46153846153846156,303508157.5278698,0.0008858667904100823,1.0326343215260068e-15
0.46153846153846156,115111241.18978801,0.0014384498882876629,2.7226962135915975e-15
0.46153846153846156,43658127.53382605,0.002335721469090121,7.178799430246859e-15
0.46153846153846156,16558175.207805613,0.003792690190732246,1.892798805138228e-14
0.46153846153846156,6280002.872192975,0.00615848211066026,4.9906497281508307e-14
0.46153846153846156,2381810.532619455,0.01,1.315860149957504e-13
0.5153846153846153,171208595245727.12,1e-06,1.08471811873601e-21
0.5153846153846153,64934115975751.734,1.6237767391887209e-06,2.860023002634393e-21
0.5153846153846153,24627498470510.43,2.6366508987303555e-06,7.540882220285515e-21
0.5153846153846153,9340447187137.809,4.281332398719396e-06,1.9882673883335608e-20
0.5153846153846153,3542542242371.0273,6.951927961775606e-06,5.242366996365995e-20
0.5153846153846153,1343576521289.5256,1.1288378916846883e-05,1.3822291652443448e-19
0.5153846153846153,509576949279.2958,1.8329807108324375e-05,3.6444557707931675e-19
0.5153846153846153,193266749695.4877,2.9763514416313192e-05,9.60915758344737e-19
0.5153846153846153,73300090576.48068,4.8329302385717524e-05,2.533599397845565e-18
0.5153846153846153,27800453450.922974,7.847599703514606e-05,6.680217129364438e-18
0.5153846153846153,10543850710.124956,0.00012742749857031334,1.7613400497937917e-17
0.5153846153846153,3998955916.0861635,0.00020691380811147902,4.644038825317727e-17
0.5153846153846153,1516680087.6136274,0.0003359818286283781,1.224470914292419e-16
0.5153846153846153,575229769.0796721,0.0005455594781168515,3.228502336924602e-16
0.5153846153846153,218166830.2631255,0.0008858667904100823,8.512433590197362e-16
0.5153846153846153,82743919.71077308,0.0014384498882876629,2.2444315689845626e-15
0.5153846153846153,31382205.26554331,0.002335721469090121,5.917782523168432e-15
0.5153846153846153,11902298.209984919,0.003792690190732246,1.5603126675736964e-14
0.5153846153846153,4514172.969391965,0.00615848211066026,4.113999844693474e-14
0.5153846153846153,1712085.956617145,0.01,1.0847181725148623e-13
0.5692307692307693,127160201774807.31,1e-06,9.069155050929195e-22
0.5692307692307693,48227924992284.54,1.6237767391887209e-06,2.391219581575735e-21
0.5692307692307693,18291357803760.86,2.6366508987303555e-06,6.304811258823331e-21
0.5692307692307693,6937345331749.737,4.281332398719396e-06,1.662358627190184e-20
0.5692307692307693,2631120158944.9463,6.951927961775606e-06,4.383059368393203e-20
0.5692307692307693,997902361746.8398,1.1288378916846883e-05,1.1556597422863024e-19
0.5692307692307693,378473449870.5793,1.8329807108324375e-05,3.0470712981259665e-19
0.5692307692307693,143543254077.67606,2.9763514416313192e-05,8.034063276701424e-19
0.5692307692307693,54441509168.62085,4.8329302385717524e-05,2.1183020158986044e-18
0.5692307692307693,20647977779.250786,7.847599703514606e-05,5.585222914011623e-18
0.5692307692307693,7831138278.184117,0.00012742749857031334,1.4726283015909468e-17
0.5692307692307693,2970108132.9956055,0.00020691380811147902,3.882806734935038e-17
