#m [GeV]	cff
0.010041	3.3032
0.020011	1.9377
0.030109	2.0781
0.040023	1.3655
0.049940	1.2934
0.059759	1.4501
0.069996	1.4082
0.079775	1.3410
0.089762	0.94403
0.099798	0.94401
