#m [GeV]	cff
0.010372	3.0457
0.020257	1.9854
0.030173	1.9370
0.041386	1.4819
0.050140	1.4797
0.060124	1.3506
0.070109	1.2629
0.080094	1.2946
0.090212	0.91312
0.10020	0.90810
