#m [GeV]	cff
0.010080	2.8562
0.020137	1.8318
0.030174	2.0041
0.040196	1.3877
0.050352	1.2543
0.060433	1.3272
0.070631	1.3998
0.080658	1.2847
0.090763	0.86383
0.10076	0.89850
0.10105	0.25976
0.090683	0.13744
0.080693	0.089170
0.070523	0.055696
0.060184	0.051168
0.050319	0.052880
0.040384	0.013781
0.030155	0.014939
0.020456	0.014976
0.010048	0.0036522
