#m [GeV]	cWW
0.010032	195.83
0.020061	112.09
0.030081	72.209
0.040112	47.365
0.050117	35.550
0.060197	23.897
0.070230	17.200
0.070167	13.990
0.060189	10.709
0.050104	7.3474
0.040097	4.7136
0.030401	2.1500
0.020100	2.2364
0.010041	1.0889
