#m [GeV]	cff
0.63204	10000
0.63205	0.096856
0.65617	0.060721
0.67094	0.058941
0.68327	0.059149
0.71294	0.055657
0.72899	0.054577
0.74239	0.058013
0.77935	0.084781
0.79690	0.083742
0.80990	0.085859
0.84507	0.084781
0.86410	0.083924
0.88355	0.084046
0.90497	0.064295
0.90498	10000
