#m [GeV]	cWW
0.21545	1.6976
0.26198	3.4026
0.31472	1.8831
0.38233	0.80543
0.42816	0.56113
0.55224	1.5780
0.57063	1.5574
0.63308	1.6013
0.67089	1.6083
0.69517	1.6394
0.82423	1.6261
0.94949	1.1155
1.0022	1.0851
1.5029	3.5233
2.0029	3.3702
2.0067	3.9992
1.5029	8.0062
1.0013	9.2733
0.95019	15.390
0.82577	16.139
0.68677	23.470
0.65354	24.042
0.57277	33.799
0.55121	33.605
0.48038	37.377
0.46543	41.970
0.42977	48.833
0.38376	51.633
0.31619	74.111
0.26076	105.31
0.21565	112.99
