#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B0->K0  mu  mu) 

0.20000000000000004,17188900895.884415,0.00012245513306678618,0.0
0.20000000000000004,7878054857.959083,0.00018088040080399561,0.0
0.20000000000000004,3610686124.8195605,0.0002671812816304737,0.0
0.20000000000000004,1654855131.1819127,0.0003946576684726452,0.0
0.20000000000000004,758453288.4362494,0.0005829550421113759,0.0
0.20000000000000004,347611735.31755495,0.0008610920508355232,0.0
0.20000000000000004,159313992.2122872,0.001271932595910999,0.0
0.20000000000000004,73013769.79484884,0.0018787916192828846,0.0
0.20000000000000004,33461600.661807656,0.0027751926163661227,0.0
0.20000000000000004,15334955.124068296,0.0040992806114776605,0.0
0.20000000000000004,7027755.98429676,0.006055111790272853,0.0
0.20000000000000004,3220723.005661272,0.008944100750274077,0.0
0.20000000000000004,1476029.9772575903,0.013211471728657949,0.0
0.20000000000000004,676461.2566714758,0.019514872440561434,0.0
0.20000000000000004,310024.69708313403,0.02882572465755633,0.0
0.20000000000000004,142087.0076477278,0.04257893073931596,0.0
0.20000000000000004,65120.25964208965,0.06289400750340614,0.0
0.20000000000000004,29845.620943581587,0.09290172653833195,0.0
0.20000000000000004,13678.771420842184,0.13722659974140763,0.0
0.20000000000000004,6269.240985131536,0.2026995662865173,0.0
0.21357941055617136,2594919.585854654,0.00012245513306678618,1.556114937619559e-09
0.21357941055617136,1189309.247568045,0.00018088040080399561,3.395247761529244e-09
0.21357941055617136,545086.6282612631,0.0002671812816304737,7.408032714840774e-09
0.21357941055617136,249824.92166408204,0.0003946576684726452,1.6163647774144278e-08
0.21357941055617136,114499.76147049743,0.0005829550421113759,3.5268750705457845e-08
0.21357941055617136,52477.13082156464,0.0008610920508355232,7.696162175053592e-08
0.21357941055617136,24050.791800058625,0.001271932595910999,1.679657448771008e-07
0.21357941055617136,11022.494484731478,0.0018787916192828846,3.666532155151509e-07
0.21357941055617136,5051.511423200653,0.0027751926163661227,8.005366920544253e-07
