#m [GeV]	cWW
0.44755	303.89
0.45000	303.43
0.46000	305.47
0.47000	302.47
0.47239	302.99
0.47229	141.99
0.46998	181.01
0.45996	231.25
0.44986	228.99
0.44747	292.45
