#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B->K  mu  mu) 

0.01,1296153369622282.2,1e-06,0.0
0.01,114821922517770.8,3.359818286283781e-06,0.0
0.01,10171692772623.83,1.1288378916846883e-05,0.0
0.01,901076456877.4899,3.792690190732254e-05,0.0
0.01,79823317411.50903,0.00012742749857031334,0.0
0.01,7071147912.806893,0.0004281332398719391,0.0
0.01,626315979.2317457,0.0014384498882876629,0.0
0.01,55469038.34915492,0.004832930238571752,0.0
0.01,4913034.379354507,0.01623776739188721,0.0
0.01,435202.6708817303,0.05455594781168514,0.0
0.01,129529.95903769514,0.1,0.0
0.01,62600.62872901735,0.14384498882876628,0.0
0.01,38552.39486137829,0.18329807108324336,0.0
0.01,30254.346649888987,0.20691380811147897,0.0
0.01,14621.68072932385,0.29763514416313175,0.0
0.01,7066.544845279402,0.42813323987193935,0.0
0.01,3415.2079701479147,0.6158482110660255,0.0
0.01,3415.2079701479042,0.6158482110660264,0.0
0.01,1650.5448890027128,0.8858667904100825,0.0
0.01,797.6963937719127,1.2742749857031335,0.0
0.01,385.5209554333901,1.8329807108324356,0.0
0.01,302.54138354713496,2.06913808111479,0.0
0.01,186.31953894883708,2.636650898730358,0.0
0.01,90.04691679026782,3.79269019073225,0.0
0.01,43.51904112835012,5.455594781168517,0.0
0.01,26.80112194005693,6.951927961775605,0.0
0.01,21.03244710839165,7.847599703514611,0.0
0.01,10.164834332447782,11.288378916846883,0.0
0.01,4.912593309953163,16.23776739188721,0.0
0.01,2.3742220046549756,23.357214690901213,0.0
0.01,2.3742220046549756,23.357214690901213,0.0
0.01,1.1474449080509255,33.59818286283781,0.0
0.01,0.5545521112955799,48.32930238571752,0.0
0.01,0.26801116405781233,69.51927961775606,0.0
0.01,0.21032443260899647,78.47599703514607,0.0
0.01,0.12952792499895568,100.0,0.0
0.01,0.018631942739975663,263.6650898730355,0.0
0.01,0.0016505419244020063,885.8667904100832,0.0
0.01,0.00014621602751577632,2976.3514416313133,0.0
0.01,1.2952792295314683e-05,10000.0,0.0
0.012115276586285882,1067914132686163.1,1e-06,0.0
0.012115276586285882,94602966495129.25,3.359818286283781e-06,0.0
0.012115276586285882,8380562609187.971,1.1288378916846883e-05,0.0
0.012115276586285882,742406188561.9764,3.792690190732254e-05,0.0
0.012115276586285882,65767254696.058044,0.00012742749857031334,0.0
0.012115276586285882,5825991717.514466,0.0004281332398719391,0.0
0.012115276586285882,516028199.5184359,0.0014384498882876629,0.0
0.012115276586285882,45701513.586598195,0.004832930238571752,0.0
0.012115276586285882,4047899.7893654997,0.01623776739188721,0.0
0.012115276586285882,358567.97804492817,0.05455594781168514,0.0
0.012115276586285882,106721.07189609432,0.1,0.0
0.012115276586285882,51577.30497286073,0.14384498882876628,0.0
0.012115276586285882,31763.716558912685,0.18329807108324336,0.0
0.012115276586285882,24926.868879342088,0.20691380811147897,0.0
0.012115276586285882,12046.9538668961,0.29763514416313175,0.0
0.012115276586285882,5822.199330573834,0.42813323987193935,0.0
0.012115276586285882,2813.8251427943324,0.6158482110660255,0.0
0.012115276586285882,2813.8251427943233,0.6158482110660264,0.0
0.012115276586285882,1359.9009924745085,0.8858667904100825,0.0
0.012115276586285882,657.2303030543133,1.2742749857031335,0.0
0.012115276586285882,317.63469956091245,1.8329807108324356,0.0
0.012115276586285882,249.2669726864317,2.06913808111479,0.0
0.012115276586285882,153.51059376356358,2.636650898730358,0.0
0.012115276586285882,74.19058538425669,3.79269019073225,0.0
0.012115276586285882,35.855787757931274,5.455594781168517,0.0
0.012115276586285882,22.081721357899085,6.951927961775605,0.0
0.012115276586285882,17.328850544444137,7.847599703514611,0.0
0.012115276586285882,8.374912060808887,11.288378916846883,0.0
0.012115276586285882,4.047536400086975,16.23776739188721,0.0
0.012115276586285882,1.956146047397909,23.357214690901213,0.0
0.012115276586285882,1.956146047397909,23.357214690901213,0.0
0.012115276586285882,0.9453917186731031,33.59818286283781,0.0
0.012115276586285882,0.4569012158346839,48.32930238571752,0.0
0.012115276586285882,0.22081716798307566,69.51927961775606,0.0
0.012115276586285882,0.17328847374563766,78.47599703514607,0.0
0.012115276586285882,0.10671939608765983,100.0,0.0
0.012115276586285882,0.01535105018602563,263.6650898730355,0.0
0.012115276586285882,0.0013598985499926068,885.8667904100832,0.0
0.012115276586285882,0.00012046889622414862,2976.3514416313133,0.0
0.012115276586285882,1.0671939440215422e-05,10000.0,0.0
0.014677992676220698,880286650176698.6,1e-06,0.0
0.014677992676220698,77981670926394.47,3.359818286283781e-06,0.0
0.014677992676220698,6908137236918.597,1.1288378916846883e-05,0.0
0.014677992676220698,611968918473.3976,3.792690190732254e-05,0.0
0.014677992676220698,54212257857.71245,0.00012742749857031334,0.0
0.014677992676220698,4802392422.252419,0.0004281332398719391,0.0
0.014677992676220698,425364479.2108521,0.0014384498882876629,0.0
0.014677992676220698,37671973.7048031,0.004832930238571752,0.0
0.014677992676220698,3336702.9584969715,0.01623776739188721,0.0
0.014677992676220698,295569.2825833453,0.05455594781168514,0.0
0.014677992676220698,87970.685079817,0.1,0.0
0.014677992676220698,42515.41681001852,0.14384498882876628,0.0
0.014677992676220698,26182.982026711827,0.18329807108324336,0.0
0.014677992676220698,20547.33609873469,0.20691380811147897,0.0
0.014677992676220698,9930.361141427895,0.29763514416313175,0.0
0.014677992676220698,4799.26648954697,0.42813323987193935,0.0
0.014677992676220698,2319.4493951935656,0.6158482110660255,0.0
0.014677992676220698,2319.4493951935583,0.6158482110660264,0.0
0.014677992676220698,1120.9728304246596,0.8858667904100825,0.0
0.014677992676220698,541.7580523524679,1.2742749857031335,0.0
0.014677992676220698,261.827787606796,1.8329807108324356,0.0
0.014677992676220698,205.4719464607164,2.06913808111479,0.0
0.014677992676220698,126.53950968013585,2.636650898730358,0.0
0.014677992676220698,61.15565100314372,3.79269019073225,0.0
0.014677992676220698,29.556095712458877,5.455594781168517,0.0
0.014677992676220698,18.20206752555689,6.951927961775605,0.0
0.014677992676220698,14.28425359773064,7.847599703514611,0.0
0.014677992676220698,6.903479687174095,11.288378916846883,0.0
0.014677992676220698,3.336403429465706,16.23776739188721,0.0
0.014677992676220698,1.612460453955001,23.357214690901213,0.0
0.014677992676220698,1.612460453955001,23.357214690901213,0.0
0.014677992676220698,0.7792908724204172,33.59818286283781,0.0
0.014677992676220698,0.37662583674601385,48.32930238571752,0.0
0.014677992676220698,0.18202063767246013,69.51927961775606,0.0
0.014677992676220698,0.14284250984909766,78.47599703514607,0.0
0.014677992676220698,0.08796930376985496,100.0,0.0
0.014677992676220698,0.012653943392747292,263.6650898730355,0.0
0.014677992676220698,0.0011209708171727544,885.8667904100832,0.0
0.014677992676220698,9.930308186961896e-05,2976.3514416313133,0.0
0.014677992676220698,8.796930238055197e-06,10000.0,0.0
0.01778279410038923,725825664928419.6,1e-06,0.0
