#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) ,  BR_Na62(K+->pi+  a) ,  Allowed/excluded  (1/0) 

0.02,56.85279260918435,183.29807108324374,3.83799678382702e-05,1.6e-10,0
0.02,3.9526795168162514,695.192796177562,0.0005517912429881688,1.6e-10,0
0.02,0.27468519329657815,2636.6508987303664,0.007934654331436981,1.6e-10,0
0.02,0.019098439587164128,10000.0,0.11431010954903484,1.6e-10,0
0.03,5.670701790621264e+19,1e-07,2.324747319933971e-23,1.59e-08,1
0.03,3.9422310341110876e+18,3.792690190732254e-07,3.344032522655781e-22,1.59e-08,1
0.03,2.7406106157816493e+17,1.438449888287663e-06,4.810223208644213e-21,1.59e-08,1
0.03,1.905252757219156e+16,5.455594781168514e-06,6.919265037111688e-20,1.59e-08,1
0.03,1324517991716211.2,2.06913808111479e-05,9.95301601967274e-19,1.59e-08,1
0.03,92079536624892.44,7.847599703514623e-05,1.4316914781629597e-17,1.59e-08,1
0.03,6401303053723.405,0.00029763514416313193,2.059416446869118e-16,1.59e-08,1
0.03,445013976933.8465,0.0011288378916846883,2.962367358797884e-15,1.59e-08,1
0.03,30937051120.277664,0.004281332398719396,4.2612170141573334e-14,1.59e-08,1
0.03,2150721531.199757,0.01623776739188724,6.129547504896905e-13,1.59e-08,1
0.03,149516634.6779064,0.06158482110660267,8.817054372320725e-12,1.59e-08,1
0.03,56707042.34968179,0.1,2.324752816376198e-11,1.59e-08,1
0.03,27406130.076220885,0.14384498882876628,4.8102464114288826e-11,1.59e-08,1
0.03,13245203.171108034,0.20691380811147897,9.953113649366783e-11,1.59e-08,1
0.03,10394310.001298293,0.23357214690901212,1.268303687221235e-10,1.59e-08,1
0.03,6401325.514236624,0.29763514416313175,2.059457445925241e-10,1.59e-08,1
0.03,3093726.704952312,0.42813323987193935,4.261389540644005e-10,1.59e-08,1
0.03,1495186.8918496112,0.6158482110660264,8.81778096172063e-10,1.59e-08,1
0.03,722623.6588308314,0.8858667904100825,1.8246907877240496e-09,1.59e-08,1
0.03,722623.6588308305,0.8858667904100832,1.8246907877239197e-09,1.59e-08,1
0.03,349249.769197678,1.2742749857031335,3.776370036994726e-09,1.59e-08,1
0.03,168661.14341608493,1.8329807108324356,7.879130629242134e-09,1.59e-08,1
0.03,81488.99504478755,2.636650898730358,1.6255276983541784e-08,1.59e-08,0
0.03,50173.98778083607,3.359818286283788,2.63371163832898e-08,1.59e-08,0
0.03,39370.37081671539,3.79269019073225,3.3524727476245757e-08,1.59e-08,0
0.03,19022.602306910212,5.455594781168517,6.919120694007543e-08,1.59e-08,0
0.03,9193.458603179912,7.847599703514611,1.4317648186063408e-07,1.59e-08,0
0.03,4441.670868027198,11.288378916846883,2.953574310035757e-07,1.59e-08,0
0.03,3485.4802675468277,12.742749857031322,3.762062445634321e-07,1.59e-08,0
0.03,2146.6391898871784,16.23776739188721,6.112572753398903e-07,1.59e-08,0
0.03,1037.3239446644707,23.357214690901213,1.2633017160839623e-06,1.59e-08,0
0.03,501.4665262940042,33.59818286283781,2.621496147125136e-06,1.59e-08,0
0.03,242.35916312049244,48.32930238571752,5.421804085535431e-06,1.59e-08,0
0.03,242.35916312049244,48.32930238571752,5.421804085535431e-06,1.59e-08,0
0.03,117.10511528263439,69.51927961775606,1.1189573815963643e-05,1.59e-08,0
0.03,56.59933926489313,100.0,2.3155139753214312e-05,1.24e-10,0
0.03,16.848023085846773,183.29807108324374,7.783419037925591e-05,1.24e-10,0
0.03,1.1713555335416406,695.192796177562,0.0011190271142833533,1.24e-10,0
0.03,0.08140149524653328,2636.6508987303664,0.016091399514171368,1.24e-10,0
0.03,0.0056597215097367775,10000.0,0.2318197572860233,1.24e-10,0
0.04,2.3924680216852673e+19,1e-07,4.6586749911193294e-23,6.86e-08,1
0.04,1.6632265337607744e+18,3.792690190732254e-07,6.701270520543564e-22,6.86e-08,1
0.04,1.1562631046818669e+17,1.438449888287663e-06,9.639441831660681e-21,6.86e-08,1
0.04,8038257808607364.0,5.455594781168514e-06,1.3865854025905125e-19,6.86e-08,1
0.04,558813892236194.56,2.06913808111479e-05,1.994533617458969e-18,6.86e-08,1
0.04,38848339228664.93,7.847599703514623e-05,2.869036659221049e-17,6.86e-08,1
0.04,2700708557533.166,0.00029763514416313193,4.126965462036317e-16,6.86e-08,1
0.04,187751313387.36377,0.0011288378916846883,5.936433009559038e-15,6.86e-08,1
0.04,13052336064.105247,0.004281332398719396,8.539261435152787e-14,6.86e-08,1
0.04,907389010.5561429,0.01623776739188724,1.2283300392729202e-12,6.86e-08,1
0.04,63081040.12343303,0.06158482110660267,1.766892700443529e-11,6.86e-08,1
0.04,23924690.53047561,0.1,4.658686005709055e-11,6.86e-08,1
0.04,11562641.138908181,0.14384498882876628,9.639488328857059e-11,6.86e-08,1
0.04,5588148.734107183,0.20691380811147897,1.994553181951425e-10,6.86e-08,1
0.04,4385357.440566068,0.23357214690901212,2.5416158642866273e-10,6.86e-08,1
0.04,2700718.034521734,0.29763514416313175,4.127047622052497e-10,6.86e-08,1
0.04,1305242.717363408,0.42813323987193935,8.539607169427591e-10,6.86e-08,1
0.04,630819.0701074041,0.6158482110660264,1.7670383052512912e-09,6.86e-08,1
0.04,304874.7870833849,0.8858667904100825,3.6565872197832238e-09,6.86e-08,1
0.04,304874.7870833844,0.8858667904100832,3.656587219782965e-09,6.86e-08,1
