#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B0->K0  mu  mu) 

0.20000000000000004,293865.55921992974,0.1,0.0
0.20000000000000004,180976.65241687835,0.12742749857031338,0.0
0.20000000000000004,111454.243660524,0.16237767391887217,0.0
0.20000000000000004,68639.02469342883,0.20691380811147897,0.0
0.20000000000000004,42271.39208194523,0.26366508987303583,0.0
0.20000000000000004,26032.98746760719,0.33598182862837817,0.0
0.20000000000000004,16032.658303677024,0.42813323987193935,0.0
0.20000000000000004,9874.03929627355,0.5455594781168519,0.0
0.20000000000000004,6081.325738401044,0.6951927961775606,0.0
0.20000000000000004,3745.6393665599494,0.8858667904100825,0.0
0.20000000000000004,2307.2440690779626,1.1288378916846888,0.0
0.20000000000000004,1421.177140979558,1.438449888287663,0.0
0.20000000000000004,874.6545319984223,1.8329807108324356,0.0
0.20000000000000004,538.7891779285892,2.3357214690901213,0.0
0.20000000000000004,331.8836515776726,2.9763514416313175,0.0
0.20000000000000004,204.28944735383163,3.79269019073225,0.0
0.20000000000000004,125.67737634747336,4.832930238571752,0.0
0.20000000000000004,77.39207786281278,6.158482110660261,0.0
0.20000000000000004,47.671360088236334,7.847599703514611,0.0
0.20000000000000004,29.352667534800055,10.0,0.0
0.21357941055617136,240330.5061133476,0.1,9.536209377790428e-12
0.21357941055617136,148007.16381132876,0.12742749857031338,1.5484930425235094e-11
0.21357941055617136,91150.01399346486,0.16237767391887217,2.5145025986717308e-11
0.21357941055617136,56134.66188851413,0.20691380811147897,4.083348689969907e-11
0.21357941055617136,34570.54955164681,0.26366508987303583,6.631766126952009e-11
0.21357941055617136,21290.366934879472,0.33598182862837817,1.0773233150092386e-10
0.21357941055617136,13111.833459440713,0.42813323987193935,1.7509561994728804e-10
0.21357941055617136,8075.14328776841,0.5455594781168519,2.8484690652076175e-10
0.21357941055617136,4973.348469320819,0.6951927961775606,4.6417319824941306e-10
0.21357941055617136,3063.1478028166216,0.8858667904100825,7.585627412570689e-10
0.21357941055617136,1886.7770901250624,1.1288378916846888,1.2453699228222144e-09
0.21357941055617136,1162.150885100212,1.438449888287663,2.0411214285071926e-09
0.21357941055617136,715.1838319628694,1.8329807108324356,3.4031745806650285e-09
0.21357941055617136,440.6173030487065,2.3357214690901213,5.273194968390734e-09
0.21357941055617136,271.402874642423,2.9763514416313175,8.649343850862971e-09
0.21357941055617136,167.07459600922985,3.79269019073225,1.3671990285626026e-08
0.21357941055617136,102.78176196916128,4.832930238571752,2.2326071532569656e-08
0.21357941055617136,63.29372719450075,6.158482110660261,3.6105849589836065e-08
0.21357941055617136,38.98568457159333,7.847599703514611,5.941311676448613e-08
0.21357941055617136,24.005381519754685,10.0,9.545233878100934e-08
0.228080823067608,196469.5366662773,0.1,2.158940022429725e-11
0.228080823067608,120995.44662345956,0.12742749857031338,3.5056941859195615e-11
0.228080823067608,74514.87291513575,0.16237767391887217,5.692680289158787e-11
0.228080823067608,45889.90846184787,0.20691380811147897,9.244448919138596e-11
0.228080823067608,28261.29387222788,0.26366508987303583,1.501389725010992e-10
0.228080823067608,17404.766564567384,0.33598182862837817,2.438987613148432e-10
0.228080823067608,10718.820796822942,0.42813323987193935,3.9640337881102233e-10
0.228080823067608,6601.32141750642,0.5455594781168519,6.448677058042908e-10
0.228080823067608,4065.59324934312,0.6951927961775606,1.050832693957801e-09
0.228080823067608,2503.991375540034,0.8858667904100825,1.7172552895923615e-09
0.228080823067608,1542.2965417918206,1.1288378916846888,2.819188679704877e-09
0.228080823067608,949.9369704210001,1.438449888287663,4.620400206450555e-09
0.228080823067608,584.5356918321831,1.8329807108324356,7.702931835612782e-09
0.228080823067608,360.18633699670164,2.3357214690901213,1.1937626735173305e-08
0.228080823067608,221.8520924615016,2.9763514416313175,1.9579911663488358e-08
0.228080823067608,136.5846094851318,3.79269019073225,3.095291579831049e-08
0.228080823067608,84.02355318495479,4.832930238571752,5.054471778245567e-08
0.228080823067608,51.743021955069686,6.158482110660261,8.174235895523256e-08
0.228080823067608,31.869614812163736,7.847599703514611,1.3450315298567212e-07
0.228080823067608,19.624384973063567,10.0,2.1609886990901057e-07
0.24356683874973065,161145.15666952796,0.1,2.5003473990525063e-11
0.24356683874973065,99240.98248228226,0.12742749857031338,4.060072576635302e-11
0.24356683874973065,61117.41479844644,0.16237767391887217,6.59290085602925e-11
0.24356683874973065,37639.09416746765,0.20691380811147897,1.0706332802934749e-10
0.24356683874973065,23180.026387082227,0.26366508987303583,1.7388137459860169e-10
0.24356683874973065,14275.453028405693,0.33598182862837817,2.8246785477884806e-10
0.24356683874973065,8791.60792253671,0.42813323987193935,4.5908847419018366e-10
0.24356683874973065,5414.413123036583,0.5455594781168519,7.468422516286395e-10
0.24356683874973065,3334.5937469654696,0.6951927961775606,1.2169992808400446e-09
0.24356683874973065,2053.7572229382718,0.8858667904100825,1.98878977460388e-09
0.24356683874973065,1264.9676952335044,1.1288378916846888,3.264926682370262e-09
0.24356683874973065,779.1163242547104,1.438449888287663,5.350875530131886e-09
0.24356683874973065,479.4111469135916,1.8329807108324356,8.920534732757555e-09
0.24356683874973065,295.42260917998954,2.3357214690901213,1.3825225719965743e-08
0.24356683874973065,181.95984648855634,2.9763514416313175,2.267568947678828e-08
0.24356683874973065,112.0276303127061,3.79269019073225,3.58478151142267e-08
0.24356683874973065,68.91642773661799,4.832930238571752,5.8537642938100354e-08
0.24356683874973065,42.43997809329265,6.158482110660261,9.466910445716567e-08
0.24356683874973065,26.13936010961506,7.847599703514611,1.5577162229751334e-07
0.24356683874973065,16.096017355527955,10.0,2.5027220098843823e-07
0.2601043092559875,132306.56096798825,0.1,2.5720685717387195e-11
0.2601043092559875,81480.78001660177,0.12742749857031338,4.176533647719984e-11
0.2601043092559875,50179.819608139995,0.16237767391887217,6.782014746381146e-11
0.2601043092559875,30903.187495759117,0.20691380811147897,1.1013438167178083e-10
0.2601043092559875,19031.719411053564,0.26366508987303583,1.788690621357605e-10
0.2601043092559875,11720.711332297788,0.33598182862837817,2.9057026340977567e-10
0.2601043092559875,7218.256658016124,0.42813323987193935,4.722570640773012e-10
0.2601043092559875,4445.445330323635,0.5455594781168519,7.682646111448127e-10
0.2601043092559875,2737.830634995919,0.6951927961775606,1.2519069019611453e-09
0.2601043092559875,1686.2125664479631,0.8858667904100825,2.045832912047946e-09
0.2601043092559875,1038.5846695130826,1.1288378916846888,3.3585666494164146e-09
0.2601043092559875,639.6820141608973,1.438449888287663,5.5043336302869944e-09
0.2601043092559875,393.6120266649169,1.8329807108324356,9.17633342414978e-09
0.2601043092559875,242.55318603644488,2.3357214690901213,1.422176668770249e-08
0.2601043092559875,149.39570467707532,2.9763514416313175,2.332604533421789e-08
0.2601043092559875,91.97916944519034,3.79269019073225,3.6876109000406586e-08
0.2601043092559875,56.58311714915696,4.832930238571752,6.021676318277059e-08
0.2601043092559875,34.84492389698929,6.158482110660261,9.738469378654812e-08
0.2601043092559875,21.461422534985097,7.847599703514611,1.6023964016597153e-07
0.2601043092559875,13.215471078753978,10.0,2.5745118481455837e-07
0.27776462527006957,108681.316644286,0.1,2.5132830017806113e-11
0.27776462527006957,66931.21208897445,0.12742749857031338,4.081077458564472e-11
0.27776462527006957,41219.489813696586,0.16237767391887217,6.627009408440544e-11
