#  m  [GeV] ,  tau  [ps] ,  c ,  c_eff(theo) ,  c_eff(exp)^upper ,    c_eff(exp)^lower ,                c_eff(exp)^upper  converted ,    c_eff(exp)^lower  converted ,  allowed/excluded  (1/0)
0.44752,5.461809129627278e-08,10.0,43.188943137163776,0.01,0.0081673,342.5,279.730025,1
0.44752,3.363645381861366e-08,12.742749857031335,55.034589897669214,0.01,0.0081673,342.5,279.730025,1
0.44752,2.0714949911747036e-08,16.237767391887218,70.12920125405667,0.01,0.0081673,342.5,279.730025,1
0.44752,1.2757264845930308e-08,20.6913808111479,89.36388692441162,0.01,0.0081673,342.5,279.730025,1
0.44752,7.856538733683315e-09,26.366508987303583,113.87416573200737,0.01,0.0081673,342.5,279.730025,1
0.44752,4.838435324416934e-09,33.59818286283781,145.1070009091362,0.01,0.0081673,342.5,279.730025,1
0.44752,2.9797417389526026e-09,42.81332398719393,184.9062215079405,0.01,0.0081673,342.5,279.730025,1
0.44752,1.835068619397749e-09,54.5559478116852,235.6213727674777,0.01,0.0081673,342.5,279.730025,1
0.44752,1.1301237264515992e-09,69.51927961775606,300.2464214136565,0.01,0.0081673,342.5,279.730025,0
0.44752,6.95984675224333e-10,88.58667904100822,382.5965043533305,0.01,0.0081673,342.5,279.730025,1
0.44752,4.286209171690993e-10,112.88378916846884,487.5331551139352,0.01,0.0081673,342.5,279.730025,1
0.44752,2.639654250654343e-10,143.8449888287663,621.2513042616398,0.01,0.0081673,342.5,279.730025,1
0.44752,1.625626348104905e-10,183.29807108324357,791.6449968550808,0.01,0.0081673,342.5,279.730025,1
0.44752,1.001139078345392e-10,233.57214690901213,1008.7734170484915,0.01,0.0081673,342.5,279.730025,1
0.44752,6.165497104288395e-11,297.63514416313194,1285.4547315861955,0.01,0.0081673,342.5,279.730025,1
0.44752,3.7970103620162263e-11,379.26901907322497,1638.0228097130505,0.01,0.0081673,342.5,279.730025,1
0.44752,2.3383820388504593e-11,483.2930238571752,2087.291492427529,0.01,0.0081673,342.5,279.730025,1
0.44752,1.4400883954167216e-11,615.8482110660261,2659.783336670389,0.01,0.0081673,342.5,279.730025,1
0.44752,8.868758620951743e-12,784.7599703514607,3389.2953733081167,0.01,0.0081673,342.5,279.730025,1
0.44752,5.461809131093584e-12,1000.0,4318.894313364928,0.01,0.0081673,342.5,279.730025,1
0.45,5.423157144288781e-08,10.0,43.22442630330389,0.01,0.0067538,342.5,231.31765,1
0.45,3.3398416258351156e-08,12.742749857031335,55.079805208694346,0.01,0.0067538,342.5,231.31765,1
0.45,2.0568354906086155e-08,16.237767391887218,70.186817993866,0.01,0.0067538,342.5,231.31765,1
0.45,1.2666984573939606e-08,20.6913808111479,89.43730649470764,0.01,0.0067538,342.5,231.31765,1
0.45,7.800939789681723e-09,26.366508987303583,113.96772245389587,0.01,0.0067538,342.5,231.31765,1
0.45,4.804194814215635e-09,33.59818286283781,145.22621789958234,0.01,0.0067538,342.5,231.31765,1
0.45,2.9586547819987807e-09,42.81332398719393,185.05813673673603,0.01,0.0067538,342.5,231.31765,1
0.45,1.8220822546807345e-09,54.5559478116852,235.81495454347845,0.01,0.0067538,342.5,231.31765,0
0.45,1.12212609697229e-09,69.51927961775606,300.4930978285014,0.01,0.0067538,342.5,231.31765,0
0.45,6.910593494166899e-10,88.58667904100822,382.9108379383295,0.01,0.0067538,342.5,231.31765,1
0.45,4.255876640815251e-10,112.88378916846884,487.9337025384652,0.01,0.0067538,342.5,231.31765,1
0.45,2.6209740157773153e-10,143.8449888287663,621.7617118253054,0.01,0.0067538,342.5,231.31765,1
