#m [GeV]	cff
0.44761	72.892
0.44994	71.805
0.46003	72.056
0.47004	71.561
0.47243	71.755
0.42678	71.380
0.42011	71.752
0.41000	71.264
0.40003	71.737
0.39674	71.242
