#m [GeV]	cWW
0.00001	10000
0.000012170	2.6388
0.049774	0.56776
0.099945	0.19172
0.13481	0.086527
0.14991	0.095993
0.18006	0.058637
0.20008	0.058283
0.21997	0.060801
0.24021	0.056547
0.24991	0.057799
0.26003	0.057879
0.26004	10000
