#m [GeV]	cWW
1.0360	10000
1.0361	1.1163
1.1018	1.1021
1.1887	0.79342
1.2917	0.57205
1.4036	0.72064
1.5342	0.56470
1.6657	0.69034
1.7972	0.74595
1.9529	0.57115
2.1114	0.72494
2.3059	0.54520
2.5082	0.52855
2.8758	0.60163
3.1696	0.51861
3.4898	0.71549
3.8658	0.54624
4.2693	0.55531
4.7054	0.76295
4.7055	10000
