#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.11794763338717075,37794.32329478674,0.6158482110660264,1.0350828173005294e-07,2.0046e-06,1
0.11794763338717075,18268.749095994463,0.8858667904100825,2.145405184986037e-07,2.0046e-06,1
0.11794763338717075,18268.749095994437,0.8858667904100832,2.145405184986049e-07,2.0046e-06,1
0.11794763338717075,8832.487745941631,1.2742749857031335,4.45608842239156e-07,2.0046e-06,1
0.11794763338717075,4266.022118093325,1.8329807108324356,9.291116302847501e-07,2.0046e-06,1
0.11794763338717075,2062.2611169799925,2.636650898730358,1.9009541656168257e-06,2.0046e-06,1
0.11794763338717075,1269.050738507746,3.359818286283788,3.1005449467906227e-06,2.0046e-06,0
0.11794763338717075,996.3861443883737,3.79269019073225,3.918857268864052e-06,2.0046e-06,0
0.11794763338717075,481.1466518821981,5.455594781168517,8.15222555343597e-06,2.0046e-06,0
0.11794763338717075,232.5095922943495,7.847599703514611,1.686019527870021e-05,1.5082514444478181e-06,0
0.11794763338717075,112.34158696271172,11.288378916846883,3.476902991350945e-05,9.16672365400521e-07,0
0.11794763338717075,88.16763401775677,12.742749857031322,4.435383789101755e-05,7.976656066493708e-07,0
0.11794763338717075,54.30690391009254,16.23776739188721,7.21409898538814e-05,6.30971489711347e-07,0
0.11794763338717075,26.235953677757458,23.357214690901213,0.00014865963806477093,4.4675782447562743e-07,0
0.11794763338717075,12.678324086911376,33.59818286283781,0.0003073039129421531,2.9210142452298255e-07,0
0.11794763338717075,6.127994308968009,48.32930238571752,0.000636851084707801,2.1737962930272326e-07,0
0.11794763338717075,6.127994308968009,48.32930238571752,0.000636851084707801,2.1737962930272326e-07,0
0.11794763338717075,2.961871340542842,69.51927961775606,0.0013189073557825007,1.855e-07,0
0.11794763338717075,1.4311302801069123,100.0,0.002721940922985349,1.855e-07,0
0.11794763338717075,0.4259726589776507,183.29807108324374,0.009149052198620467,1.855e-07,0
0.11794763338717075,0.02961478547545414,695.192796177562,0.1316463598565019,1.855e-07,0
0.11794763338717075,0.0020586846433137537,2636.6508987303664,1.8921628672215147,1.855e-07,0
0.11794763338717075,0.00014313733131202455,10000.0,27.25908405077737,1.855e-07,0
0.1280954922105415,1.1189297025532417e+18,1e-07,2.7265617737114805e-21,2.0046e-06,1
0.1280954922105415,7.778718686441125e+16,3.792690190732254e-07,3.9220224788046766e-20,2.0046e-06,1
0.1280954922105415,5407709194305657.0,1.438449888287663e-06,5.641632796498296e-19,2.0046e-06,1
0.1280954922105415,375940047570446.3,5.455594781168514e-06,8.115206065882885e-18,2.0046e-06,1
0.1280954922105415,26135081286562.58,2.06913808111479e-05,1.167331725889944e-16,2.0046e-06,1
0.1280954922105415,1816892023793.598,7.847599703514623e-05,1.6791481906986277e-15,2.0046e-06,1
0.1280954922105415,126309024637.65215,0.00029763514416313193,2.4153705272789662e-14,2.0046e-06,1
0.1280954922105415,8780912402.3058,0.0011288378916846883,3.474389464106452e-13,2.0046e-06,1
0.1280954922105415,610442704.8704783,0.004281332398719396,4.997735115292704e-12,2.0046e-06,1
0.1280954922105415,42437537.371436216,0.01623776739188724,7.188991095429579e-11,2.0046e-06,1
0.1280954922105415,2950227.3734900383,0.06158482110660267,1.0340997847268027e-09,2.0046e-06,1
0.1280954922105415,1118930.1758341216,0.1,2.7265607337959946e-09,2.0046e-06,1
0.1280954922105415,540771.5574495358,0.14384498882876628,5.641649900803853e-09,2.0046e-06,1
0.1280954922105415,261351.74583279112,0.20691380811147897,1.1673553407657827e-08,2.0046e-06,1
0.1280954922105415,205098.72696978928,0.23357214690901212,1.487552236356697e-08,2.0046e-06,1
0.1280954922105415,126310.44145452458,0.29763514416313175,2.4155847420202876e-08,2.0046e-06,1
0.1280954922105415,61046.38294295558,0.42813323987193935,4.999339291594575e-08,2.0046e-06,1
0.1280954922105415,29505.22258984624,0.6158482110660264,1.0351338448477679e-07,2.0046e-06,1
0.1280954922105415,14262.024055596441,0.8858667904100825,2.145510953575348e-07,2.0046e-06,1
0.1280954922105415,14262.024055596421,0.8858667904100832,2.14551095357536e-07,2.0046e-06,1
0.1280954922105415,6895.336408425887,1.2742749857031335,4.4563081282005414e-07,2.0046e-06,1
0.1280954922105415,3330.397671491321,1.8329807108324356,9.291574455679641e-07,2.0046e-06,1
0.1280954922105415,1609.9635869049275,2.636650898730358,1.90104788265806e-06,2.0046e-06,1
0.1280954922105415,990.7216263304424,3.359818286283788,3.1006978164387088e-06,2.0046e-06,0
0.1280954922105415,777.8573430331272,3.79269019073225,3.919050453092903e-06,2.0046e-06,0
0.1280954922105415,375.6212682229819,5.455594781168517,8.152627458947372e-06,2.0046e-06,0
0.1280954922105415,181.51546760037002,7.847599703514611,1.6861026470177148e-05,1.2572107681876702e-06,0
0.1280954922105415,87.70273421088505,11.288378916846883,3.477074388685735e-05,7.953769358934619e-07,0
0.1280954922105415,68.83064105067344,12.742749857031322,4.4356024404961627e-05,7.024708794052841e-07,0
0.1280954922105415,42.39627085670739,16.23776739188721,7.214454635737937e-05,5.723362372317356e-07,0
0.1280954922105415,20.48185864784078,23.357214690901213,0.00014866696620518117,3.811189444376913e-07,0
0.1280954922105415,9.897701065266416,33.59818286283781,0.00030731906108899987,2.60381930840738e-07,0
0.1280954922105415,4.783997044552949,48.32930238571752,0.0006368824784547385,2.0204820450845255e-07,0
0.1280954922105415,4.783997044552949,48.32930238571752,0.0006368824784547385,2.0204820450845255e-07,0
0.1280954922105415,2.3122710442929644,69.51927961775606,0.001318972373188174,1.855e-07,0
0.1280954922105415,1.1172533133717581,100.0,0.002722075097123429,1.855e-07,0
0.1280954922105415,0.3325479073994204,183.29807108324374,0.009149503191961542,1.855e-07,0
0.1280954922105415,0.023119641205783765,695.192796177562,0.1316528492814755,1.855e-07,0
0.1280954922105415,0.0016071717716297713,2636.6508987303664,1.8922561386322,1.855e-07,0
0.1280954922105415,0.00011174431267980615,10000.0,27.260427793098625,1.855e-07,0
0.13911644221634434,8.748337939243578e+17,1e-07,2.7267200378554626e-21,2.0046e-06,1
0.13911644221634434,6.081781513888965e+16,3.792690190732254e-07,3.9222501338449096e-20,2.0046e-06,1
0.13911644221634434,4228010696381475.0,1.438449888287663e-06,5.641960266865486e-19,2.0046e-06,1
0.13911644221634434,293928257828608.06,5.455594781168514e-06,8.115677115595988e-18,2.0046e-06,1
0.13911644221634434,20433680743546.992,2.06913808111479e-05,1.1673994840306635e-16,2.0046e-06,1
0.13911644221634434,1420534765230.7395,7.847599703514623e-05,1.6792456573885754e-15,2.0046e-06,1
0.13911644221634434,98754553550.96071,0.00029763514416313193,2.415510728228231e-14,2.0046e-06,1
0.13911644221634434,6865345421.977787,0.0011288378916846883,3.4745911361462003e-13,2.0046e-06,1
0.13911644221634434,477273868.2055663,0.004281332398719396,4.998025210414536e-12,2.0046e-06,1
0.13911644221634434,33179735.645597797,0.01623776739188724,7.189408382700977e-11,2.0046e-06,1
0.13911644221634434,2306631.5241264207,0.06158482110660267,1.0341598093782253e-09,2.0046e-06,1
0.13911644221634434,874834.098548006,0.1,2.7267189978895504e-09,2.0046e-06,1
0.13911644221634434,422801.5130914494,0.14384498882876628,5.641977372224575e-09,2.0046e-06,1
0.13911644221634434,204337.4986663091,0.20691380811147897,1.1674231003171224e-08,2.0046e-06,1
0.13911644221634434,160356.15378946863,0.23357214690901212,1.4876385818739364e-08,2.0046e-06,1
0.13911644221634434,98755.65023462084,0.29763514416313175,2.4157249556719154e-08,2.0046e-06,1
0.13911644221634434,47729.06486170715,0.42813323987193935,4.999629481577839e-08,2.0046e-06,1
0.13911644221634434,23068.689989116727,0.6158482110660264,1.0351939305761714e-07,2.0046e-06,1
0.13911644221634434,11150.849378365134,0.8858667904100825,2.1456354962522768e-07,2.0046e-06,1
0.13911644221634434,11150.849378365114,0.8858667904100832,2.1456354962522887e-07,2.0046e-06,1
0.13911644221634434,5391.231111339923,1.2742749857031335,4.456566825173613e-07,2.0046e-06,1
0.13911644221634434,2604.1260999365213,1.8329807108324356,9.292113896371412e-07,2.0046e-06,1
0.13911644221634434,1258.766670181401,2.636650898730358,1.9011582346376655e-06,2.0046e-06,1
0.13911644221634434,774.6340645900367,3.359818286283788,3.1008778162544837e-06,2.0046e-06,0
0.13911644221634434,608.1637809378713,3.79269019073225,3.919277933163158e-06,2.0046e-06,0
0.13911644221634434,293.6943070862244,5.455594781168517,8.153100702702819e-06,1.8094597163872323e-06,0
0.13911644221634434,141.92582053144824,7.847599703514611,1.6862005204036823e-05,1.0623135749771729e-06,0
0.13911644221634434,68.57243943321554,11.288378916846883,3.4772762139758284e-05,7.0119977005598e-07,0
0.13911644221634434,53.81724083801953,12.742749857031322,4.435859907135682e-05,6.285609110517364e-07,0
0.13911644221634434,33.14879977045663,16.23776739188721,7.21487341598773e-05,5.256149641370777e-07,0
0.13911644221634434,16.01406419197011,23.357214690901213,0.00014867559536448297,3.301533238147559e-07,0
0.13911644221634434,7.738639939222766,33.59818286283781,0.0003073368987092411,2.3575280088891602e-07,0
0.13911644221634434,3.740464025852536,48.32930238571752,0.0006369194456499284,1.9014427551979736e-07,0
0.13911644221634434,3.740464025852536,48.32930238571752,0.0006369194456499284,1.9014427551979736e-07,0
0.13911644221634434,1.8078984940579712,69.51927961775606,0.0013190489328633026,1.855e-07,0
0.13911644221634434,0.8735378273334006,100.0,0.0027222330933074717,1.855e-07,0
0.13911644221634434,0.2600071240447965,183.29807108324374,0.009150034255853586,1.855e-07,0
0.13911644221634434,0.018076425430030955,695.192796177562,0.13166049083915718,1.855e-07,0
0.13911644221634434,0.0012565849282297399,2636.6508987303664,1.8923659699935333,1.855e-07,0
0.13911644221634434,8.736914080580323e-05,10000.0,27.262010095686335,1.855e-07,0
0.15108560153798137,6.81804713781409e+17,1e-07,2.726906507990027e-21,2.0046e-06,1
0.15108560153798137,4.739857254207381e+16,3.792690190732254e-07,3.9225183617891444e-20,2.0046e-06,1
0.15108560153798137,3295114618034930.0,1.438449888287663e-06,5.642346099321905e-19,2.0046e-06,1
0.15108560153798137,229073994503726.47,5.455594781168514e-06,8.116232116249821e-18,2.0046e-06,1
0.15108560153798137,15925059077061.002,2.06913808111479e-05,1.1674793180935144e-16,2.0046e-06,1
0.15108560153798137,1107098634907.658,7.847599703514623e-05,1.6793604946873642e-15,2.0046e-06,1
0.15108560153798137,76964699564.7532,0.00029763514416313193,2.4156759159278424e-14,2.0046e-06,1
0.15108560153798137,5350530469.910698,0.0011288378916846883,3.474828750374182e-13,2.0046e-06,1
0.15108560153798137,371965024.0135184,0.004281332398719396,4.9983670065727914e-12,2.0046e-06,1
0.15108560153798137,25858740.68811184,0.01623776739188724,7.189900039317989e-11,2.0046e-06,1
0.15108560153798137,1797681.2398424167,0.06158482110660267,1.034230531681338e-09,2.0046e-06,1
0.15108560153798137,681805.0061392313,0.1,2.7269054679610345e-09,2.0046e-06,1
0.15108560153798137,329511.8537979703,0.14384498882876628,5.6423632059012464e-09,2.0046e-06,1
0.15108560153798137,159251.16120600354,0.20691380811147897,1.1675029360288956e-08,2.0046e-06,1
0.15108560153798137,124974.14273521015,0.23357214690901212,1.4877403159493582e-08,2.0046e-06,1
