#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.0,0.0,10.0,4.793567282466849e-09
0.0,0.0,11.288378916846883,6.104005514182588e-09
0.0,0.0,12.742749857031322,7.786701948995496e-09
0.0,0.0,16.23776739188721,1.2664978306949329e-08
0.0,0.0,23.357214690901213,2.6098491831438347e-08
0.0,0.0,33.59818286283781,5.394987308238712e-08
0.0,0.0,48.32930238571752,1.1180474475039832e-07
0.0,0.0,48.32930238571752,1.1180474475039832e-07
0.0,0.0,69.51927961775606,2.3154565472713693e-07
0.0,0.0,100.0,4.778603883846017e-07
0.0,0.0,183.29807108324374,1.6061956425329638e-06
0.0,0.0,695.192796177562,2.311166287965733e-05
0.0,0.0,2636.6508987303664,0.0003321856381684822
0.0,0.0,10000.0,0.004785569195717492
0.01,2.3513401847945618e+21,1e-07,4.7839747243699835e-25
0.01,1.634634757831989e+20,3.792690190732254e-07,6.88150790783658e-24
0.01,1.1363863080262523e+19,1.438449888287663e-06,9.898704281281793e-23
0.01,7.900075750146676e+17,5.455594781168514e-06,1.423879006759559e-21
0.01,5.492075750759048e+16,2.06913808111479e-05,2.0481785982072225e-20
0.01,3818051497989731.5,7.847599703514623e-05,2.946202275779312e-19
0.01,265428189684320.84,0.00029763514416313193,4.237964334379415e-18
0.01,23513401848570.0,0.001,4.783974723167858e-17
0.01,18452376537680.3,0.0011288378916846883,6.09609932154098e-17
0.01,16145450221638.39,0.0012067926406393288,6.967134303690818e-17
0.01,11086254746958.305,0.0014563484775012444,1.0146575434041183e-16
0.01,7612364017618.312,0.0017575106248547913,1.477694968166241e-16
0.01,5227020960645.932,0.0021209508879201904,2.1520388163417626e-16
0.01,3589127905636.8936,0.002559547922699536,3.1341184520950682e-16
0.01,2464470531174.4697,0.0030888435964774815,4.564368632620509e-16
0.01,1692225843974.414,0.003727593720314938,6.64731130166812e-16
0.01,1282795924717.8591,0.004281332398719396,8.768933350852794e-16
0.01,1161964921447.9639,0.004498432668969444,9.680801678429083e-16
0.01,797861871444.5063,0.005428675439323859,1.4098620753170507e-15
0.01,547850932697.4324,0.006551285568595509,2.05325048007034e-15
0.01,376181210368.7942,0.0079060432109077,2.9902481962200858e-15
0.01,258304393810.30667,0.009540954763499945,4.3548433776597106e-15
0.01,177364413868.60422,0.01151395399326447,6.342169459226925e-15
0.01,121787070128.3394,0.013894954943731374,9.236408702871697e-15
0.01,89179049176.8149,0.01623776739188724,1.261367045698272e-14
0.01,83624951242.64397,0.016768329368110076,1.3451429474559121e-14
0.01,57420976389.67268,0.020235896477251564,1.958996826157073e-14
0.01,39428047326.37521,0.02442053094548651,2.8529819277213245e-14
0.01,27073223372.565067,0.029470517025518096,4.154935650114667e-14
0.01,18589797782.667236,0.03556480306223128,6.051033743247653e-14
0.01,12764663411.41602,0.04291934260128776,8.812412903022075e-14
0.01,8764841640.110046,0.0517947467923121,1.2833942581521318e-13
0.01,6199663986.006616,0.06158482110660267,1.814412305027452e-13
0.01,6018368664.328092,0.0625055192527397,1.8690690452632243e-13
0.01,4132506201.1368055,0.07543120063354615,2.7220156586461635e-13
0.01,2837580965.8461885,0.09102981779915217,3.9642037747463066e-13
0.01,2351341178.6654696,0.1,4.783972899859827e-13
0.01,1948422113.7453508,0.10985411419875583,5.773265455448553e-13
0.01,1337882304.0532682,0.13257113655901082,8.40790045034373e-13
0.01,1136387643.9856856,0.14384498882876628,9.898734292867432e-13
0.01,918655968.8464651,0.15998587196060574,1.2244882886843877e-12
0.01,630794847.7274997,0.19306977288832497,1.7832977698570799e-12
0.01,549209523.6030271,0.20691380811147897,2.048220032891135e-12
0.01,433135542.73532087,0.2329951810515372,2.59715207974026e-12
0.01,430998355.1716797,0.23357214690901212,2.6100315682906218e-12
0.01,297413256.6653401,0.2811768697974228,3.782501209510396e-12
0.01,265431143.22134683,0.29763514416313175,4.238340194706844e-12
0.01,204219995.7288732,0.3393221771895326,5.509037903076535e-12
0.01,140229272.19720373,0.4094915062380423,8.024144708493371e-12
0.01,128283991.12144525,0.42813323987193935,8.771748029185236e-12
0.01,96290449.9883441,0.49417133613238334,1.168869125093505e-11
0.01,66120232.553717315,0.5963623316594643,1.7029577739785772e-11
0.01,62002776.33543626,0.6158482110660264,1.8162266600537475e-11
0.01,45404179.43974538,0.7196856730011514,2.481709611554018e-11
0.01,31179766.934616823,0.868511373751352,3.617926222656539e-11
