#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(KL->pi0  a) 

0.099955,741055.5051229651,0.14384498882876628,1.8954350150770594e-09
0.099955,358147.2721987352,0.20691380811147897,3.921936322269867e-09
0.099955,281059.7712729075,0.23357214690901212,4.997638401223542e-09
0.099955,173090.38167856165,0.29763514416313175,8.115109749457344e-09
0.099955,83653.66445228769,0.42813323987193935,1.6791628239727675e-08
0.099955,40429.51259071499,0.6158482110660264,3.474568527386605e-08
0.099955,19539.579026993255,0.8858667904100825,7.190032515846385e-08
0.099955,19539.57902699323,0.8858667904100832,7.190032515845874e-08
0.099955,9443.634251979905,1.2742749857031335,1.4880451822594703e-07
0.099955,4560.56274942346,1.8329807108324356,3.1047016734004357e-07
0.099955,2203.445360632663,2.636650898730358,6.405247993361934e-07
0.099955,1356.6939544140776,3.359818286283788,1.0377907558007691e-06
0.099955,1064.5663858402831,3.79269019073225,1.3210122079903281e-06
0.099955,514.3670140697373,5.455594781168517,2.726418257036951e-06
0.099955,248.5891139779722,7.847599703514611,5.641742518832366e-06
0.099955,120.10179204573738,11.288378916846883,1.163829809959957e-05
0.099955,94.24660883732442,12.742749857031322,1.482407402543759e-05
0.099955,58.044646765418,16.23776739188721,2.408605181113094e-05
0.099955,28.04900733236522,23.357214690901213,4.97792857676327e-05
0.099955,13.559544863480605,33.59818286283781,0.00010329773496311558
0.099955,6.553338311204296,48.32930238571752,0.0002136413902663051
0.099955,6.553338311204296,48.32930238571752,0.0002136413902663051
0.099955,3.166496023600197,69.51927961775606,0.0004409152504989191
0.099955,1.5304334174193461,100.0,0.0009124077835798014
0.099955,0.45556676299714016,183.29807108324374,0.0030669873681417503
0.099955,0.03167318884399597,695.192796177562,0.04409427280469091
0.099955,0.0022010781679456114,2636.6508987303664,0.6340673527303627
0.099955,0.0001530376131947703,10000.0,9.134652314330618
0.13488999999999998,6.240170889572556e+17,1e-07,2.7151634899554486e-21
0.13488999999999998,4.3381218493477496e+16,3.792690190732254e-07,3.905626618808825e-20
0.13488999999999998,3015831058607039.5,1.438449888287663e-06,5.618048173518517e-19
0.13488999999999998,209658402643216.7,5.455594781168514e-06,8.081280767590902e-18
0.13488999999999998,14575301117566.072,2.06913808111479e-05,1.1624517417370192e-16
0.13488999999999998,1013264433905.3374,7.847599703514623e-05,1.6721285780421183e-15
0.13488999999999998,70441413507.65776,0.00029763514416313193,2.405273166337759e-14
0.13488999999999998,4897036322.573662,0.0011288378916846883,3.4598649184257227e-13
0.13488999999999998,340438437.67158604,0.004281332398719396,4.976842326221318e-12
0.13488999999999998,23667035.203383178,0.01623776739188724,7.158938716710205e-11
0.13488999999999998,1645315.4931387203,0.06158482110660267,1.0297783296877717e-09
0.13488999999999998,624017.3580887285,0.1,2.7151699094657026e-09
0.13488999999999998,301583.36921618204,0.14384498882876628,5.6180752729599326e-09
0.13488999999999998,145753.26722178745,0.20691380811147897,1.1624631442915477e-08
0.13488999999999998,114381.38200576168,0.23357214690901212,1.4813015746660931e-08
0.13488999999999998,70441.66082592505,0.29763514416313175,2.40532105074195e-08
0.13488999999999998,34044.08154277224,0.42813323987193935,4.977043826665536e-08
0.13488999999999998,16453.38118182832,0.6158482110660264,1.0298631909109201e-07
0.13488999999999998,7951.917399113151,0.8858667904100825,2.1311278713194098e-07
0.13488999999999998,7951.917399113137,0.8858667904100832,2.131127871319258e-07
