#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B0->K0  mu  mu) 

0.20000000000000004,2939.7035401663475,1.0,0.0
0.20000000000000004,2321.6195457622,1.125335582600765,0.0
0.20000000000000004,1833.5516324153589,1.2663801734674032,0.0
0.20000000000000004,1448.0414415846024,1.425102670302998,0.0
0.20000000000000004,1142.7841654174078,1.6037187437513303,0.0
0.20000000000000004,902.3987236786352,1.8047217668271702,0.0
0.20000000000000004,712.8797071286655,2.0309176209047357,0.0
0.20000000000000004,562.7581897344122,2.2854638641349903,0.0
0.20000000000000004,444.3701445090349,2.571913809059345,0.0
0.20000000000000004,350.9539789881927,2.8942661247167507,0.0
0.20000000000000004,277.0657624713202,3.257020655659783,0.0
0.20000000000000004,218.73776194672845,3.665241237079628,0.0
0.20000000000000004,172.63201405161854,4.1246263829013525,0.0
0.20000000000000004,136.25665364911205,4.641588833612778,0.0
0.20000000000000004,107.60128569202276,5.223345074266842,0.0
0.20000000000000004,84.95225259715875,5.878016072274912,0.0
0.20000000000000004,67.09458902339662,6.614740641230149,0.0
0.20000000000000004,53.02965230453243,7.443803013251689,0.0
0.20000000000000004,41.83408793932622,8.376776400682918,0.0
0.20000000000000004,33.0314916388488,9.426684551178852,0.0
0.20000000000000004,26.084451575480614,10.608183551394482,0.0
0.20000000000000004,20.60382623547626,11.937766417144363,0.0
0.20000000000000004,16.263258448245782,13.433993325989,0.0
0.20000000000000004,12.843280803099196,15.117750706156622,0.0
0.20000000000000004,10.14505865456713,17.012542798525892,0.0
0.20000000000000004,8.006397919763758,19.144819761699576,0.0
0.20000000000000004,6.322252207008996,21.544346900318832,0.0
0.20000000000000004,4.992767484417942,24.244620170823282,0.0
0.20000000000000004,3.943265581925035,27.28333376486768,0.0
0.20000000000000004,3.1129213210682756,30.702906297578497,0.0
0.20000000000000004,2.4580276266518926,34.55107294592218,0.0
0.20000000000000004,1.940997389089837,38.881551803080875,0.0
0.20000000000000004,1.5327382374527394,43.75479375074185,0.0
0.20000000000000004,1.2104058902807646,49.23882631706739,0.0
0.20000000000000004,0.9557474013882614,55.41020330009492,0.0
0.20000000000000004,0.7547455895301068,62.355073412739124,0.0
0.20000000000000004,0.5960631248480978,70.17038286703826,0.0
0.20000000000000004,0.4705907605510532,78.96522868499724,0.0
0.20000000000000004,0.37158928202779534,88.86238162743403,0.0
0.20000000000000004,0.2934253483061825,100.0,0.0
0.21357941055617136,2404.0253222992196,1.0,9.71265360336255e-10
0.21357941055617136,1898.5338819161022,1.125335582600765,1.2374321609774378e-09
0.21357941055617136,1499.3739359191873,1.2663801734674032,1.5791133740160695e-09
0.21357941055617136,1184.103392266374,1.425102670302998,2.011670118438146e-09
0.21357941055617136,934.5730100791333,1.6037187437513303,2.473376153671782e-09
0.21357941055617136,737.8509877665277,1.8047217668271702,3.325107069420019e-09
0.21357941055617136,582.956210106278,2.0309176209047357,4.056539149543875e-09
0.21357941055617136,460.2172468341921,2.2854638641349903,5.055018127127486e-09
0.21357941055617136,363.40292236692113,2.571913809059345,6.388462349258295e-09
0.21357941055617136,287.0007277926914,2.8942661247167507,8.153538363589172e-09
0.21357941055617136,226.586040298073,3.257020655659783,1.0190378549828141e-08
0.21357941055617136,178.89165663956763,3.665241237079628,1.2750312915926251e-08
0.21357941055617136,141.1710890860838,4.1246263829013525,1.6679652409092465e-08
0.21357941055617136,111.43321866924403,4.641588833612778,2.0622793023134394e-08
0.21357941055617136,87.99741551562626,5.223345074266842,2.6210952429253e-08
0.21357941055617136,69.4768963917739,5.878016072274912,3.28603456923411e-08
0.21357941055617136,54.87061002585701,6.614740641230149,4.202786074965428e-08
0.21357941055617136,43.36139985175694,7.443803013251689,5.599790458035849e-08
