#m [GeV]	cWW
0.17931	10000
0.17932	4.3119
0.19308	3.6288
0.20981	3.3972
0.22780	2.6004
0.24773	2.4289
0.26837	2.3845
0.29192	2.3096
0.31595	1.7936
0.34468	1.6881
0.37454	1.6996
0.40452	1.6460
0.43822	1.2480
0.43823	10000
