#m [GeV]	cWW
0.26076	99.723
0.31619	68.571
0.38126	34.221
0.55121	19.459
0.56690	19.459
0.68999	11.256
0.95019	6.5306
1.5001	2.1964
2.0011	0.75068
2.0011	0.74088
1.5001	0.74088
0.99850	0.14105
0.95019	0.14157
0.82577	0.24246
0.68101	0.24277
0.65232	0.24226
0.63071	0.24274
0.56690	0.24286
0.55121	0.24200
0.38269	0.083626
0.31619	0.29834
0.26076	0.74088
